Country,WHO_Region,Cases._perMil,Deaths._perMil,mean._age,Transmission_Classification,HIV.AIDS,Genital.herpes,Ascariasis,Malaria,Trichuriasis,Tuberculosis,popDen_2018,latitude,longitude,Avg_Rainfall91.2016_mm,Avg_temp91.2016_c,GDPpc,PerUrb,HCexpend,inv_simpsons,Hookworm.disease,Schistosomiasis,Lymphatic.filariasis,inf_diseaseBurden,Total_tests_per_thousand,Diabetes_prevalence,Cardiovasc_death_rate,Spatial_lag
Belize,Americas,30272.01,769.56,23.9,Community_transmission,0.006787961,0.198746406,0.043456408,0.000388038,0.03985373,0.228957292,16.79399386,17.189877,-88.49765,174.3321341,25.63707083,4836.366928,45.6184,4836.366928,3.77912,0.007686635,0,0,10969.82507,NA,17.11,176.957,21896.65857
Benin,Africa,345.87,4.54,17,Community_transmission,0.005729919,0.133067377,0.059396369,0.32736205,0.039268383,0.189676198,101.8539198,9.30769,2.315834,87.34315218,27.88625321,1152.188106,46.773,1152.188106,5.509188,0.085212644,0.105927833,0.002789872,2841066.915,NA,0.99,235.848,1651.914
Bermuda,Americas,11112.36,192.7,43.6,Sporadic_cases,0.002899534,0.29456357,0.007031418,0,0.026163101,0.156496414,1183.703683,32.321384,-64.75737,NA,NA,110164.5579,100,110164.5579,2.846269,0.005664402,0,0,812.2773207,NA,13,139.547,30429.825
Bhutan,South-East Asia,1115.85,1.3,29.1,Clusters_of_cases,0.0009928,0.065167918,0.212127821,0.000931135,0.061556721,0.061241106,19.77752777,27.514162,90.433601,159.6253066,12.25373468,3105.89273,40.156,3105.89273,3.81369,0.012282557,0,0,27708.77109,90286.694,9.75,217.066,4826.895
Bolivia (Plurinational State of),Americas,19529.39,924.87,25.3,Community_transmission,0.001441466,0.216895313,0.033865613,0.001358619,0.036163061,0.185022568,10.48014585,-16.290154,-63.588653,91.00180651,20.90170128,3312.882825,69.0818,3312.882825,3.927734,0.005664131,0,0,527540.597,10075.434,6.89,204.299,27434.62167
Bosnia and Herzegovina,Europe,37826.23,1467.01,43.3,Community_transmission,4.18E-05,0.088018895,0,0,0,0.193829225,64.92048828,43.915886,17.679076,90.6193324,10.48909301,5459.449478,47.8876,5459.449478,2.46713,0,0,0,23754.6871,28346.462,10.08,329.635,59660.32286
Botswana,Africa,10390.68,76.12,25.7,Community_transmission,0.157515946,0.30111756,0.00646852,0.000807414,0.045683201,0.154839046,3.977424876,-22.328474,24.684866,31.47796862,22.29560192,7635.579977,68.6812,7635.579977,5.529895,0.027755064,0.112411698,0,462837.0162,NA,4.81,237.372,9062.594286
Brazil,Americas,44809.31,1089.27,33.2,Community_transmission,0.004276361,0.28641381,0.022907849,0.000725891,0.036629627,0.270806068,25.06171624,-14.235004,-51.92528,147.6897981,25.50485192,9033.580888,86.3028,9033.580888,3.608581,0.009106958,0.029321899,0.000493627,4821292.12,239.485,8.11,177.961,13421.78625
British Virgin Islands,Americas,4663.16,33.07,37.2,Clusters_of_cases,0.001329502,0.101604272,0,0,0,0.27618594,198.68,18.420695,-64.639968,NA,NA,NA,47.3432,NA,2.219002,0,0,0.023342331,NA,NA,NA,NA,17891.73
Brunei Darussalam,Western Pacific,416.02,6.86,31.1,Sporadic_cases,0.00026587,0.121202378,0,0,0,0.195379223,81.39696395,4.535277,114.727669,272.6018391,25.71679615,29921.92243,77.3072,29921.92243,2.568537,0,0,0,4922.361015,NA,12.79,201.285,5399.56
Bulgaria,Europe,32359.61,1355.7,43.7,Clusters_of_cases,0.004212876,0.137242689,0.15046198,0.31023491,0.03316745,0.198971216,64.71109985,42.733883,25.48583,52.67103913,11.28779103,8438.950271,74.6686,8438.950271,5.15629,0.026302201,0.008633084,0.005708985,75492.24605,35540.91,5.81,424.688,36623.05571
Burkina Faso,Africa,541.02,6.41,17.9,Community_transmission,0.0073639,0.18515429,0.084708166,0.353547631,0.096215259,0.229124914,72.19128289,12.238333,-1.561593,66.58027099,28.69861186,735.3127105,28.749,735.3127105,6.419935,0.110207211,0.094830772,0,6668974.485,NA,2.42,269.048,838.2216667
Burundi,Africa,145.49,0.25,17.7,Community_transmission,0.016703432,0.153722651,0.041483709,0.28462141,0.030999333,0.21036991,435.178271,-3.373056,29.918886,103.0768135,20.88023718,282.7480102,12.714,282.7480102,6.349234,0.044514899,0.082007971,0.105871136,2458859.325,NA,6.05,293.068,1241.16
Cabo Verde,Africa,25991.61,244.61,26.8,Community_transmission,0.005222856,0.204796182,0.035668988,0.002623379,0.036816176,0.146443565,134.9297767,16.002082,-24.013197,28.93012,23.42969808,3337.546481,65.2544,3337.546481,4.38299,0.015395551,0,0,19434.72426,NA,2.42,182.219,14756.9275
Cameroon,Africa,1182.63,17.86,18.5,Community_transmission,0.020951069,0.190293912,0.060342444,0.211546577,0.062464591,0.190936048,53.34398891,7.369722,12.354722,131.5150435,24.93106635,1431.776971,55.7752,1431.776971,7.103678,0.043689841,0.043418335,0.003487259,6447610.838,NA,7.2,244.661,1477.942
Canada,Americas,21309.33,550.23,41.8,Community_transmission,0.002690069,0.116814992,0,0,0,0.111035374,4.075188239,56.130366,-106.346771,38.67237853,-5.963873782,44712.88921,81.3604,44712.88921,2.640949,0,0,0,260343.016,111706.658,7.37,105.599,31135.8875
Central African Republic,Africa,1032.97,13.04,20,Community_transmission,0.021881786,0.230159865,0.114669455,0.262438797,0.066932805,0.366953849,7.490412212,6.611111,20.939444,113.5673233,25.40206346,434.8751176,41.0018,434.8751176,6.923105,0.090510089,0.05874679,0.055432266,2352804.058,NA,6.1,435.727,785.2728571
Chad,Africa,213.57,7.61,16.1,Community_transmission,0.008418957,0.104030551,0.107398078,0.08796556,0.068863815,0.220157991,12.29173364,15.454166,18.732207,28.75294837,27.55332756,714.2214925,22.8776,714.2214925,6.703248,0.235672109,0.031752077,0.016521342,6404644.032,NA,6.1,280.995,3372.287143
Chile,Americas,39513.6,996.85,35.5,Community_transmission,0.003237307,0.200374593,0.008930723,0,0.030491584,0.159209868,25.18944607,-35.675147,-71.542969,50.72814519,8.454477692,14629.67689,87.4958,14629.67689,3.108465,0.006584332,0,0,180755.7732,83880.826,8.46,127.993,26737.578
China,Western Pacific,68.89,3.28,38.4,Clusters_of_cases,0.000404628,0.125964241,0.012521918,4.95E-07,0.06177465,0.318248816,148.3488333,35.86166,104.195397,48.27837978,7.039331891,9066.535078,57.9312,9066.535078,2.997266,0.011554511,0.00793022,0,12261284.12,173.692,9.74,261.899,1049.695
Colombia,Americas,42395.7,1100.43,31.2,Community_transmission,0.002264601,0.260648484,0.102167183,0.002271523,0.049057664,0.229311975,44.75985219,4.570868,-74.297333,221.0699689,24.73434872,6313.789701,80.44,6313.789701,4.149948,0.020204548,0,0,684290.861,36302.419,7.44,124.24,22654.01714
Comoros,Africa,3625.8,132.24,20.9,Community_transmission,0.000172793,0.244216836,0.013812703,0.027963177,0.040962831,0.227918418,447.2444775,-11.875001,43.872219,133.4617955,25.72138397,1325.11545,28.8004,1325.11545,4.726723,0.034616435,0,0.064374556,71320.86031,NA,11.88,261.516,3113.51
Congo,Africa,1460.65,22.11,19.5,Community_transmission,0.018871743,0.261367146,0.018394858,0.187788963,0.052451287,0.300761747,15.35684627,-0.228021,15.827659,133.606601,24.84103558,2317.07112,66.4584,2317.07112,5.345646,0.028336419,0.06656487,0.014900461,763246.2455,NA,7.2,344.094,2068.515
Costa Rica,Americas,38561.73,524.53,32.6,Community_transmission,0.001510127,0.249690478,0.073293082,0,0.04891673,0.2137157,97.91306306,9.748917,-83.753428,243.6692138,24.92141442,11827.23277,78.5146,11827.23277,4.124231,0.018762861,0,0,47397.47801,2665.772,2.42,303.74,24989.57
Croatia,Europe,57427.69,1272.51,43.9,Community_transmission,0.000220843,0.098260066,0,0,0,0.145472657,73.04937455,45.1,15.2,89.79589846,11.44510413,13509.00583,56.6828,13509.00583,2.82677,0,0,0,24175.69268,44987.413,5.59,253.782,64468.2325
Cuba,Americas,2956.22,21.19,42.1,Community_transmission,0.002240084,0.277051118,0.021490859,0,0.030604733,0.183455201,108.9995962,21.521757,-77.781167,112.6315038,25.90257436,8279.459343,76.9898,8279.459343,3.148076,0.007606103,0,0,181244.7322,32161.237,8.27,190.968,14768.43
Cyprus,Europe,26391.49,177.25,37.9,Clusters_of_cases,0.000154515,0.114568362,0,0,0,0.081148834,128.7083333,35.126413,33.429859,37.82776529,19.47115897,26150.60121,66.8556,26150.60121,2.313696,0,0,0,5925.231136,363477.617,9.24,141.171,27193.51167
Czechia,Europe,97593.97,1633.86,43.3,Community_transmission,0.000164339,0.079950371,0,0,0,0.148011115,137.6577053,49.817492,15.472962,56.57416423,8.756214455,20790.31403,73.687,20790.31403,2.692145,0,0,0,92634.70528,NA,6.82,227.485,39675.89667
Democratic Republic of the Congo,Africa,264.29,7.6,16.7,Community_transmission,0.004399102,0.220320909,0.14343247,0.251714316,0.124957197,0.313106547,37.08259236,-4.038333,21.758664,122.1602333,24.53754904,514.6982648,43.8866,514.6982648,7.636924,0.137829346,0.050999004,0.024192352,15851031.15,NA,6.1,318.949,1323.811667
Denmark,Europe,34883.28,382.58,42,Community_transmission,0.001194471,0.128687325,0,0,0,0.08061606,137.9765658,56.26392,9.501785,61.73003987,8.678213269,57459.56645,87.7586,57459.56645,2.247537,0,0,0,48953.80079,416039.197,6.41,114.767,49180.47833
Djibouti,Eastern Mediterranean,6022.27,63.77,24.9,Clusters_of_cases,0.01162396,0.205471941,0.039146068,0.013112981,0.031037366,0.185034222,41.36842105,11.825138,42.590275,21.71606471,28.26240865,2986.47475,77.657,2986.47475,4.336196,0.009997282,0.00212565,0,152543.8687,NA,6.05,258.037,569.29
Dominican Republic,Americas,20660.11,262.08,27.9,Community_transmission,0.005676965,0.212857024,0.048114851,2.15E-05,0.036627944,0.234603392,219.9785759,18.735693,-70.162651,121.4442597,24.48336154,7628.896587,80.2362,7628.896587,4.85857,0.006837338,0.124032855,0.016394668,313471.2202,15897.987,8.2,266.653,18969.895
Ecuador,Americas,14657.72,850.93,28.8,Community_transmission,0.002364769,0.233564259,0.083419841,0.00156621,0.056763742,0.149822992,68.78868175,-1.831239,-78.183406,185.949474,21.70914423,6175.569094,63.6818,6175.569094,3.996424,0.00540088,0,0,395173.5921,9439.902,5.55,140.448,36079.345
Egypt,Eastern Mediterranean,1663.24,94.78,24.1,Clusters_of_cases,4.72E-05,0.090130189,0.030892309,0,0.023953185,0.2850804,98.87346929,26.820553,30.802498,2.485025064,23.05570769,3016.685489,42.7312,3016.685489,2.850767,0.003722298,0.012140755,0.00721943,2415120.45,NA,17.31,525.432,22147.517
El Salvador,Americas,8734.38,260.86,27.7,Community_transmission,0.003484775,0.23023373,0.055061099,9.86E-05,0.067319448,0.252553152,309.8814672,13.794185,-88.89653,151.2771268,24.37199647,3935.347657,71.249,3935.347657,4.427262,0.058641967,0,0,136830.2207,23420.179,8.87,167.295,17707.66714
Equatorial Guinea,Africa,4001.47,62.01,20.3,Community_transmission,0.051830953,0.225254293,0.025386441,0.336657105,0.047888214,0.242399005,46.66573975,1.650801,10.267895,181.8614803,24.89411058,9695.565902,71.634,9695.565902,5.342202,0.014961297,0.042097156,0.011434465,244255.7199,NA,7.78,202.812,2964.972
Eritrea,Africa,655.87,1.97,20.3,Community_transmission,0.003884645,0.174672616,0.020338457,0.012100602,0.052311985,0.242417038,NA,15.179384,39.782334,22.56127292,26.94000224,NA,NA,NA,5.31396,0.118767289,0.039476449,0.00370359,952438.16,NA,6.05,311.11,3387.966667
Estonia,Europe,36794.36,357.32,43.7,Clusters_of_cases,0.002565861,0.164118541,0,0,0,0.156131064,30.41124914,58.595272,25.013607,55.74426596,6.166056154,20662.39145,68.7254,20662.39145,2.738242,0,0,0,12877.44777,116647.326,4.02,255.569,33141.65
Eswatini,Africa,13992.85,523.2,23.7,Community_transmission,0.195835479,0.269845843,0.012111648,0.000609254,0.054632396,0.24507416,66.05761628,-26.523,31.466,66.01406798,20.46310801,3804.169904,23.6328,3804.169904,5.828574,0.084862204,0.063254385,0,307435.9878,NA,3.94,333.436,3282.728333
Ethiopia,Africa,1243.82,18.75,19.8,Community_transmission,0.007571648,0.136782514,0.033916645,0.042854424,0.061230912,0.324872315,109.224559,9.145,40.489673,67.66684324,23.15304776,750.6946936,20.3184,750.6946936,5.798468,0.207724673,0.197671421,0.005701588,13179967.4,3729.351,7.47,182.634,1662.075
Fiji,Western Pacific,62.47,2.23,29.9,Sporadic_cases,0.000539127,0.175090956,0.026101208,0,0.052187617,0.382663735,48.35703339,-16.578193,179.414413,239.7889574,24.32588622,5927.294145,55.7402,5927.294145,3.812702,0.011796247,0,0.10562771,28795.92277,5273.6,14.49,412.82,10043.65
Finland,Europe,8657.54,126.52,42.8,Community_transmission,0.00026002,0.115729409,0,0,0,0.077641147,18.14854727,61.92411,25.748151,46.89010253,2.402187596,46343.86227,85.3306,46343.86227,2.271507,0,0,0,23073.58383,101950.891,5.76,153.507,32310.1125
