country,cases,deaths,meanAge,HIV.AIDS,Genital.herpes,Ascariasis,Malaria,Trichuriasis,Tuberculosis,popDen,rain,temp,GDPpc,PerUrb,HCexpend,invSimp,Hookworm,Schistosomiasis,Lymphatic.filariasis,IDBurd,tests,Diabetes,cardioDR,spatLag,reg,trans,PropOver 70,AirConnectivityIndex
Grenada,1315,9,33.3,0.00251472,0.236158233,0.024248567,0,0.035334536,0.235909855,327.8058824,128.8380674,27.16824263,10034.52604,36.1802,10034.52604,3.42442,0.007725418,0,0,1991.630165,47783.39844,10.71,243.964,14126.20333,Amer,spor,9.677419355,0.03
Guam,44183,770,29.4,7.14E-04,0.185593624,0.007481424,0,0.050129023,0.309385026,306.9777778,199.3749335,24.67839799,35542.53265,94.6978,35542.53265,3.173353,0.011304836,0,0,3252.027047,8253.654,10.18,155.898,1977.458,WPac,clust,10.18984542,
Guatemala,9112,331,23.2,0.001740349,0.195921888,0.104741737,0.001598859,0.074313064,0.291609196,152.5471258,220.1783569,23.93217083,4342.453438,50.6926,4342.453438,4.772492,0.079627841,0,0,723824.6596,18158.32475,8.30272,236.460414,17997.35667,Amer,comm,4.928984331,0.04
Guinea,1123,6,19.1,0.01003892,0.142715843,0.130397823,0.305306526,0.053942345,0.221750365,50.52221227,140.5542882,26.19758013,839.7120501,35.8068,839.7120501,6.261439,0.060011871,0.078822533,0.012348601,3474116.639,3530.993097,2.42,336.717,1036.687143,Afri,comm,2.94190559,0.02
Guinea-Bissau,1413,23,18,0.016864644,0.150409563,0.062134895,0.026412745,0.069340627,0.231351546,66.65394737,128.0463331,27.48197981,695.8105251,42.9476,695.8105251,6.597531,0.252557461,0.117311031,0.024921812,381700.5254,5725.311237,2.42,382.474,6220.946,Afri,comm,2.863260455,0.02
Guyana,10148,229,27.5,0.012610219,0.211748555,0.047571294,0.014096154,0.036760948,0.270902728,3.957348235,197.276783,26.05163301,6053.713492,26.5512,6053.713492,4.766184,0.007748727,0,0.196688313,32340.39448,22030.89599,11.62,373.159,14377.71667,Amer,clust,6.711584305,0.02
Haiti,1044,22,24.1,0.01381867,0.158996217,0.119809128,0.001683191,0.056983648,0.328742851,403.5985486,116.9728216,25.13607564,1331.437916,54.3278,1331.437916,4.632082,0.079674374,0,0.012752231,1416730.97,13396.40178,6.65,430.548,18586.434,Amer,comm,5.063669546,0.05
Honduras,15606,376,45.6,9.91E-04,0.238099665,0.192169106,0.001268716,0.076137514,0.291534239,85.68703191,160.9768376,24.01401122,2435.840574,56.4522,2435.840574,4.61829,0.040953977,0,0,228355.2056,20053.79727,7.21,240.208,9712.614,Amer,comm,4.828189524,0.04
Hungary,39205,1371,43.6,2.23E-04,0.070741494,0,0,0,0.164602207,107.9814868,52.13354734,10.8767866,14709.05221,71.0672,14709.05221,2.551818,0,0,0,68179.80479,52725.651,7.55,278.296,58919.55857,Euro,comm,19.69445761,0.09
Iceland,17641,85,37.1,5.99E-04,0.115773025,0,0,0,0.073136405,3.518413965,92.33924551,2.307253397,65051.14194,93.7752,65051.14194,2.265737,0,0,0,2135.295976,173416.332,5.31,117.992,31932.41125,Euro,comm,15.19212107,0.04
India,7860,112,28.7,0.001345282,0.074880416,0.094962154,0.004438405,0.056482678,0.27560445,454.9380726,86.6361734,24.56394071,1885.05656,33.6122,1885.05656,3.794337,0.017296122,0,0.027401915,81125828.03,26179.253,10.39,282.28,12718.76667,SEAs,clust,6.377924156,0.04
Indonesia,4263,116,31.1,0.001160996,0.13726551,0.067483421,0.00302229,0.085631867,0.366531916,147.7521901,239.5649064,26.26064519,3752.321661,54.6542,3752.321661,3.590123,0.022801541,6.25E-05,0.023344964,10273812.98,3247.401,6.32,342.864,3355.014,SEAs,comm,6.050302682,0.03
Iran (Islamic Republic of),17546,697,31.7,3.41E-04,0.134756166,0.021642108,5.19E-05,0.027636925,0.281732912,50.22242012,17.60874276,17.76754189,5307.030804,74.3842,5307.030804,2.74494,0.002339563,2.13E-05,0,784173.5432,12626.093,9.59,270.308,26210.817,EMed,comm,6.358522055,0.04
Iraq,15669,326,21.2,6.15E-05,0.086727559,0.023273736,0,0.038428588,0.145789801,88.53057004,14.71366144,22.33393337,5352.312834,70.2888,5352.312834,5.10372,0.006844312,0.097786042,0,590915.4471,21492.724,8.83,218.612,25987.09286,EMed,comm,3.398533134,0.04
