country,popDen,rain,PerUrb,HCexpend,Diabetes,cardioDR,spatLag,reg,trans,pop,PathCompPC2,PathCompPC3,ageDivPC1,cases,deaths,log_tests,log_cases,log_pop,IDburd_perMil
Libya,3.795632381,3.409302308,79.8244,5938.576684,10.43,341.862,11691.36,EMed,comm,6871287,-0.11974656202696232,-1.137661277852277,0.5027525151896317,124879,1972,10.744179746997453,11.735100547469871,15.74286198289783,10768.038817182285
Lithuania,44.72307577,55.26462994,67.5292,16983.96583,3.67,342.989,42089.57,Euro,comm,2794700,-0.48138689632395937,0.13424069047003334,-1.6384085167369693,192407,3052,11.834126045495855,12.167368199088298,14.843235324284635,11481.118860700612
Luxembourg,250.1851852,78.70049942,90.714,108928.1788,4.42,128.275,52147.658,Euro,comm,632275,0.11760613745732876,-0.759498303479031,-1.4191625746052254,52401,603,13.30688645906308,10.866680954096502,13.357079705071154,5810.74894942865
Madagascar,45.13985562,117.923334,36.5246,501.8687864,3.94,405.994,7105.9,Afri,comm,27691019,-0.0486573046180562,-0.19839724415407212,1.7108260014833396,19356,277,5.873179197813224,9.87075772791321,17.136618694758944,153454.15212058465
Malawi,192.4407616,83.09760022,16.7288,369.1806521,3.94,227.349,2162.332,Afri,comm,19129955,-1.3483412581366763,-0.922020704978926,2.16546381785306,27413,880,6.261611906101748,10.21877263241388,16.766765989087478,170507.17359241046
Malaysia,95.96282149,259.0780455,75.4286,10564.76518,16.74,260.942,2853.082,WPac,clust,32365998,0.21012521336274426,1.4411013325109676,-0.06481326369677068,245561,906,10.283659228431286,12.411300667857624,17.292618985265726,28095.002876166527
Maldives,1718.986667,197.0833333,39.3818,9744.751201,9.19,164.905,9217.71714285714,SEAs,clust,540542,0.4941764374968608,1.2892022081022323,0.1301721508402759,16909,55,11.913465082742139,9.735601303538429,13.200327618870396,9912.963220249305
Mali,15.63501586,26.59095843,41.5676,827.2043904,2.42,268.024,1615.16,Afri,comm,20250834,1.6359941502959108,-0.24095822128107858,2.4499522604893498,8181,344,8.90511040656323,9.009569671513699,16.823706535853923,290666.83120310004
Malta,1514.46875,35.1589416,94.546,27777.82338,8.83,168.711,25222.942,Euro,clust,525285,0.0666454225495341,-0.7009223562731067,-1.6325604083158032,22621,338,12.553577657360409,10.026633957357836,13.171696251422983,6550.370836783841
Mauritania,4.272163578,8.235993237,52.8108,1583.872509,2.42,232.347,8701.74,Afri,comm,4649660,0.5115020466816419,-0.5183824960565527,1.8967248310742357,16776,423,7.357211115865153,9.727704572581755,15.352304656610697,79910.13222472182
Mauritius,623.3019704,146.2398337,40.862,10346.91167,22.02,224.644,11100.93,Afri,clust,1265740,-1.4919201581124604,-1.850359392342597,-0.4529702582515358,581,10,10.661953956827928,6.364750756851911,14.051167489346671,17090.22277876973
Mexico,64.91462641,62.21506167,79.8658,9456.311625,13.06,152.783,30049.3025,Amer,comm,128932753,0.47264499790042025,1.2567689176318413,0.3018914638728088,1932186,166194,8.793738580577,14.47416256241255,18.674801531831047,14245.646783017191
Monaco,980.548464479635,82.59121766,100,172346.5606,5.46,128.543475961172,66576.0666666667,Euro,spor,39244,0.050178521796830494,-0.7591495040035685,-2.6041540111298738,1665,20,12.587535255252153,7.417580402414544,10.577553845283282,10303.548573030272
Mongolia,2.040608667,18.56879849,68.3756,3944.595588,4.82,460.043,8645.224,WPac,clust,3278292,0.5570161076035871,0.36809638302167336,-0.23317181839188678,2072,3,10.738447484168264,7.6362696033793735,15.002833113025169,26650.314126990517
Montenegro,46.26223048,97.15418157,66.4774,7816.462374,10.08,387.305,43050.2625,Euro,clust,621718,0.304652217440334,-0.2909005556814967,-1.2722928785720793,64993,829,11.469451407526968,11.08203485077085,13.340241892709463,5939.589399052304
Morocco,80.72851893,24.8487001,61.9048,3046.919776,7.14,419.146,33943.204,EMed,clust,36910558,0.7454225864358512,0.1937305482675947,0.33193448430422795,475593,8416,10.194792840707239,13.072317725439818,17.424008192746147,19657.279919745455
