country,popDen,rain,PerUrb,HCexpend,Diabetes,cardioDR,spatLag,reg,trans,pop,PathCompPC2,PathCompPC3,ageDivPC1,cases,deaths,log_tests,log_cases,log_pop,IDburd_perMil
Azerbaijan,120.2343172,35.98206744,55.3578,4612.313512,7.11,559.812,28564.595,Euro,clust,10110116,0.21978673141218627,0.2768068213189256,-0.5848792113850413,230531,3154,10.705748190482563,12.348140622614451,16.12904706471916,25664.380121850234
Bahamas,38.52547453,110.0077478,82.932,32841.51708,13.17,235.954,24474.8583333333,Amer,clust,393248,-1.2093258912316704,0.969351464423386,-0.45032194593516167,8289,176,11.268481051117323,9.022684613591526,12.882195735084323,26071.659665147694
Bahrain,2017.2737,5.931829167,89.1912,23296.12435,16.52,151.689,30525.3725,EMed,clust,1701583,0.3182999131759082,-0.06390184768510812,-0.3702966241109142,108049,383,12.635825975530723,11.590340106917656,14.347069552221173,4966.129187938525
Bangladesh,1239.579312,193.0744926,35.8572,1553.615589,8.38,298.003,4838.524,SEAs,comm,164689383,3.964821559058984,0.546229571526575,-0.11657057954864136,538370,8234,8.477455400601341,13.196301335106412,18.91957173041068,36435.18861200664
Barbados,666.6069767,186.4684396,31.1812,17342.02081,13.57,170.05,10438.53625,Amer,comm,287371,-1.2847894653321783,0.9162319734178985,-1.0213818764567069,1709,18,11.081838649027961,7.443663683115591,12.568529342873353,19986.963889884504
Belarus,46.71950379,52.53906904,78.123,5945.370122,5.18,443.129,40839.10625,Euro,comm,9398861,-0.47683053117831453,0.03288762286340558,-1.3290856123756152,258112,1786,10.126359867068969,12.46114887823304,16.056099069685764,10468.00055240736
Belgium,377.3795905,72.66912532,97.9596,44234.45458,4.29,114.898,62592.925,Euro,comm,11555997,0.08336488422913069,-0.755947563267943,-1.5867111500123656,724376,21355,11.88366929241324,13.493065873575631,16.26271508096283,10207.45971983205
Belize,16.79399386,174.3321341,45.6184,4836.366928,17.11,176.957,21896.6585714286,Amer,comm,397621,-0.3498750508636053,0.9020717141368391,0.43274520093499685,12037,306,10.467384934580316,9.395740518379736,12.893254569271202,27588.646147965024
Benin,101.8539198,87.34315218,46.773,1152.188106,0.99,235.848,1651.914,Afri,comm,12123198,0.7267801136192756,-2.6395004416547354,1.7385703390732465,4195,61,8.376725583917997,8.341648618901306,16.31063136518629,234349.62581655435
Bermuda,1183.703683,109.608798479691,100,110164.5579,13,139.547,30429.825,Amer,spor,63903,-1.413984806786334,0.600910379506906,-1.4782612761738312,710,12,12.320042860254244,6.565264970035361,11.065121587620395,12711.098394441575
