Province_State,cases,deaths,Cases_propPop,Deaths_propPop,Lat,Long,pop,Density,urban,Tested_1July2021_cumulative,Rainfall_monthly2017,Mean_age,Health_expenditure,IDBurd,log_tests,log_healthcare,log_cases,lag_rate,invSimp,PathCompPC1,PathCompPC2,log_pop,IDburd_perMil
Gujarat,823607,10062,0.012894568,1.57533e-4,22.694884,71.590923,63872399,308,0.33,23754343,69.85416667,26,71993325,6588062.481,16.98327593488539,18.092083964349314,13.621448753371144,445762,3.3133832328177166,0.4111467011235491,0.21826348394700065,17.9723978855025,103144.12146943157
Haryana,768724,9446,0.027255182,3.34909e-4,29.20004,76.332824,28204692,573,0.39,10075025,35.13333333,24.9,27058044,2502474.017,16.12557014718352,17.113494894280567,13.552487276392705,761091,1.9475451709546143,-1.0043950782500128,0.878838133851216,17.154998905046952,88725.45096397436
Himachal_Pradesh,202290,3464,0.027145897,4.64844e-4,31.927213,77.233081,7451955,123,0.07,2451440,98.51666667,28.2,15330549,504602.8069,14.712186164962572,16.54535806233983,12.217457590396737,266803,2.784147486092638,-1.2965794134295712,0.37092383350756875,15.82398697203804,67714.15110531398
Jammu_and Kashmir,315960,4327,0.023221562,3.18014e-4,33.75943,76.612638,13606320,56,0.31,10017517,106.575,23.3,19539174,903658.4788,16.119845818521195,16.787931931423387,12.663370902278356,410471.5,3.3210586831907323,-0.43658340985698657,-0.28363907957559686,16.426044948646293,66414.61312096144
Jharkhand,345706,5113,0.008957518,1.32482e-4,23.654536,85.557631,38593948,414,0.34,10035595,97.15,22.1,21822461,4087686.787,16.12164883093118,16.89845031844375,12.753343981848195,1167482.8,3.4995972558132524,3.556540482364418,1.6040520309568378,17.46860603457784,105915.22761548003
Karnataka,2847013,35134,0.042138837,5.20021e-4,14.70518,76.166436,67562686,319,0.31,34425805,131.9138889,27.4,60153923,5044032.155,17.35431698647407,17.91241721854084,14.861780932459796,1688508.4285714284,2.0272133170976283,-2.243709624055375,0.46177842100382616,18.028566406366387,74657.06965824302
Kerala,2937034,13360,0.082271144,3.74236e-4,10.450898,76.405749,35699443,860,0.78,23198555,222.075,31.9,47715032,1227274.184,16.95960055021402,17.680757042481908,14.892910786552294,1093186.4,1.8786011529973092,-2.315591214678336,1.3407177152576195,17.390645644387256,34377.9644965329
Ladakh,20090,202,0.073243914,7.3645e-4,34.1526,77.5771,274289,132,0.2,359314,106.575,22.1,3744305,187219.0589,12.791951936996,15.135746576936848,9.90797745780898,183092.6,2.4086491214818753,-0.5658037127553122,-0.0026139721421556436,12.521937574043568,682561.3090572353
Lakshadweep,9808,49,0.152229586,7.60527e-4,13.6999972,72.1833326,64429,2149,0.93,184431,144.9083333,24.2,581140,344028.3375,12.125030688773522,13.272746970662343,9.190953658175992,1357027.6,1.8355037986798286,-1.7562466288323872,0.23155930097530456,11.073319121292078,5339650.429154574
Madhya_Pradesh,789844,8981,0.009253205,1.05214e-4,23.541513,78.289633,85358965,236,0.18,12150837,67.04583333,23.3,55229521,11538740.88,16.31290861426699,17.82700816901702,13.579590736589331,1577133.625,3.283921661488164,1.2554457942833435,0.7238356036919519,18.262376039767112,135179.01581866652
Maharashtra,6070599,122197,0.049296661,9.92308e-4,19.449759,76.108221,123144223,365,0.36,41875217,70.91666667,28.2,100521782,8570223.958,17.55020473018563,18.42588499829789,15.618967840209763,887744.0000000001,2.144038885831433,-1.6410938863307876,0.3547574169570259,18.628866771158474,69595.01427850172
Manipur,70298,1162,0.022738792,3.75864e-4,24.738975,93.882541,3091545,128,0.27,906459,233.7833333,26.2,4856580,276432.2325,13.717301079251813,15.395845044457303,11.160498627891927,102413.42857142858,3.23423843904023,0.40723248777042154,-3.1045254011915198,14.94418152391558,89415.5616366574
Meghalaya,50090,844,0.014878026,2.5069e-4,25.536934,91.278882,3366710,132,0.12,701787,225.975,21.5,6438624,344028.3375,13.46138521816373,15.677825410654732,10.821576666351662,433923.6,3.271980586640874,1.871396933479491,-0.6166930395265665,15.029446564347673,102185.31964440063
Mizoram,20492,93,0.016535888,7.5e-5,23.309381,92.83822,1239244,52,0.06,488984,233.7833333,21.5,4506119,123586.3632,13.100085048085303,15.320946808857745,9.927789845059094,264217.75,3.5814564562386098,0.5626233208580944,-2.0029802954564513,14.030012074233012,99727.22337166854
Nagaland,25305,498,0.011248191,2.21363e-4,26.06702,94.470302,2249695,119,0.11,227838,225.975,21.5,4649643,187219.0589,12.336390129077333,15.3523010004227,10.138757283648179,205872.99999999997,3.519382647789954,0.4107417968862124,-2.424972880900258,14.626305209436563,83219.75152187297
Odisha,912887,4116,0.019692821,8.88e-5,20.505428,84.418059,46356334,270,0.23,13833870,112.0416667,26.6,37435595,5906014.932,16.442630490961026,17.438132547737254,13.724367384118773,681723.875,2.826504811408319,1.9530345694763067,1.7351487030347335,17.651868496518755,127404.70227865734
Puducherry,117465,1751,0.083099759,0.001238732,11.882658,78.86498,1413542,2547,0.93,1324645,125.0416667,26.6,5357577,202375.0347,14.096655056975969,15.494022378601763,11.673895695853147,2033809.4,3.589825424133367,1.4087952731346303,-1.7917773366315402,14.16160916915153,143168.74539277927
Punjab,595899,16072,0.019770135,5.33221e-4,30.841465,75.40879,30141373,551,0.32,10947245,41.45833333,27.7,28005392,1940987.162,16.20859838439714,17.14790762102855,13.297826468599746,520794.1666666666,2.1691445025704765,-1.6539937367281836,0.834076928328445,17.221409304206023,64396.10969281326
Rajasthan,952497,8923,0.011754478,1.10116e-4,26.583423,73.847973,81032689,200,0.18,11910687,42.025,22.4,78183293,10474499.45,16.292946622287552,18.174566538189023,13.766842236371733,882471.0000000001,1.554523664670291,-1.1387239757714291,1.721279100453791,18.210363199126324,129262.64177164352
Sikkim,20666,308,0.029939833,4.46214e-4,27.571671,88.472712,690251,86,0.03,164498,223.7416667,27.6,2618237,35931.62236,12.010653691058943,14.778011748474588,9.9362451167743,454466.4285714285,2.0183876051573546,-1.5565541768158757,1.3603631693768705,13.444810578541803,52055.878745557784
Tamil_Nadu,2484177,32721,0.031913368,4.20355e-4,11.006091,78.400624,77841267,555,0.44,33001904,81.08333333,29.9,85248545,4748984.908,17.312075814736044,18.26108160653357,14.725451975535563,1020655.9999999999,2.6818006371538448,-2.9213640110358523,-0.5636297589216294,18.170182272687974,61008.576697499026
Telangana,624379,3669,0.015862187,9.32e-5,18.1124,79.0193,39362732,319,0.31,18777030,67.975,26.7,39476048,2865097.596,16.748144872272984,17.491204666201963,13.34451283477084,2251431.1666666665,2.887829626912396,-0.23824783009377482,-0.35085577621004416,17.48833003830863,72787.06152814798
Tripura,66217,679,0.015880161,1.62838e-4,23.746783,91.743565,4169794,350,0.22,1289528,233.7833333,28.2,6104618,294672.916,14.06978681791037,15.624556091906681,11.100692506541325,511010.2,3.235454310931207,0.31217344587989687,-0.8789202075441562,15.243377192075124,70668.45892147192
Uttar_Pradesh,1706252,22601,0.00717266,9.5e-5,26.925425,80.560982,237882725,829,0.55,58111746,53.34166667,21.5,137962248,37356811.91,17.877878370063506,18.742490640478298,14.349809710075892,771200.1666666666,3.7264041747119574,1.2409708136786146,0.39565407397127694,19.287288358092695,157038.77576650426
Uttarakhand,340379,7324,0.030253604,6.50973e-4,30.156447,79.197608,11250858,189,0.28,5555584,123,21.5,14962656,1054024.468,15.530314106043093,16.521068054859178,12.73781498165141,595338.1428571428,2.8644321287758627,-0.6918188473528138,0.24594705768991487,16.235954950373216,93683.91886201037
West_Bengal,1501284,17735,0.015071725,1.78046e-4,23.814082,87.979803,99609303,1028,0.69,14272933,177.2291667,27,79762114,6573851.311,16.47387550442307,18.194559187780158,14.221831299913378,352944.5,2.6758595574052197,-0.4388023049689802,0.8197475798046248,18.416766121807438,65996.35890434853
