country,meanAge,popDen,rain,PerUrb,HCexpend,invSimp,Diabetes,cardioDR,spatLag,reg,trans,pop,PathCompPC2,PathCompPC3,cases,deaths,log_tests,log_cases,log_pop,IDburd_perMil
Congo,19.5,15.35684627,133.606601,66.4584,2317.07112,5.345646,7.2,344.094,2068.515,Afri,comm,5518092,-1.2590234086001575,0.04684505842853072,8062,121,9.23511949214173,8.994916943677111,15.523542706327882,138317.05696461746
Costa Rica,32.6,97.91306306,243.6692138,78.5146,11827.23277,4.124231,2.42,303.74,24989.57,Amer,comm,5094114,-0.34400691552522256,1.074273941886749,196439,2674,7.888248975701147,12.188107229527313,15.443596313540857,9304.36146697934
Croatia,43.9,73.04937455,89.79589846,56.6828,13509.00583,2.82677,5.59,253.782,64468.2325,Euro,comm,4047200,0.1950466881540577,-0.37305709524251784,232423,5152,10.714138018514896,12.356314266360716,15.213535841959864,5973.436617908677
Cuba,42.1,108.9995962,112.6315038,76.9898,8279.459343,3.148076,8.27,190.968,14768.43,Amer,comm,11326616,-1.1308168334217301,0.7747453219105676,33481,238,10.378517186483533,10.41873339273561,16.242665912310404,16001.666534823817
Cyprus,37.9,128.7083333,37.82776529,66.8556,26150.60121,2.313696,9.24,141.171,27193.5116666667,Euro,clust,1207361,0.14291581463032849,-0.7428964957928758,31863,214,12.803472997718682,10.36920074098965,14.003947544011119,4907.588646643382
Czechia,43.3,137.6577053,56.57416423,73.687,20790.31403,2.692145,6.82,227.485,39675.8966666667,Euro,comm,10698896,0.3572274354191407,-0.42091207077294734,1044148,17482,11.865789952777904,13.858711799829482,16.18565111653887,8658.342438322608
Democratic Republic of the Congo,16.7,37.08259236,122.1602333,43.8866,514.6982648,7.636924,6.1,318.949,1323.81166666667,Afri,comm,89561404,1.379956526062983,0.16252665655121085,23644,716,8.531586800036472,10.07086466194426,18.31043502621331,176985.06769724155
Denmark,42,137.9765658,61.73003987,87.7586,57459.56645,2.247537,6.41,114.767,49180.4783333333,Euro,comm,5831404,-0.0045077470693421495,-0.70003191726898,203417,2233,12.938534758362332,12.22301333825843,15.578768352661008,8394.856674310338
Djibouti,24.9,41.36842105,21.71606471,77.657,2986.47475,4.336196,6.05,258.037,569.29,EMed,clust,988002,-0.5167359097631363,0.4315214494375557,5950,63,9.768102521384728,8.691146498539675,13.803440001019453,154396.3156957172
Dominican Republic,27.9,219.9785759,121.4442597,80.2362,7628.896587,4.85857,8.2,266.653,18969.895,Amer,comm,10847904,-0.7799075500573439,0.024405336572326335,224118,2842,9.673947776419803,12.319927977848577,16.199482439565635,28896.93900314752
Ecuador,28.8,68.78868175,185.949474,63.6818,6175.569094,3.996424,5.55,140.448,36079.345,Amer,comm,17643060,-0.03755241025694128,0.7417288344748353,258612,15014,9.152700877729728,12.463084147955572,16.6858530628866,22398.24566146689
Egypt,24.1,98.87346929,2.485025064,42.7312,3016.685489,2.850767,17.31,525.432,22147.517,EMed,clust,102334403,0.47449813253965445,0.7237941661430111,170182,9722,10.980624686335268,12.044623731596802,18.44375646959746,23600.27888177547
El Salvador,27.7,309.8814672,151.2771268,71.249,3935.347657,4.427262,8.87,167.295,17707.6671428571,Amer,comm,6486201,-0.17761904070438989,1.1683196156367934,56650,1693,10.061353280162637,10.944647266456153,15.685187555193462,21095.587494127918
Equatorial Guinea,20.3,46.66573975,181.8614803,71.634,9695.565902,5.342202,7.78,202.812,2964.972,Afri,comm,1402985,-1.2995139362373684,-1.1486809072894109,5613,87,9.985207858761688,8.6328406149422,14.154112667651821,174097.1713168708
Eritrea,20.3,65.9468143251011,22.56127292,45.8883214,1994.31743375069,5.31396,6.05,311.11,3387.96666666667,Afri,comm,3546421,0.05373378168918527,-0.002543406942486049,2326,7,8.765576396144743,7.75190533307861,15.081449483893305,268563.1965296844
Estonia,43.7,30.41124914,55.74426596,68.7254,20662.39145,2.738242,4.02,255.569,33141.65,Euro,clust,1331057,-0.46061553084287454,-0.07683529458771832,48975,475,11.66691035391208,10.799065242812741,14.101483921403938,9674.602793118553
Eswatini,23.7,66.05761628,66.01406798,23.6328,3804.169904,5.828574,3.94,333.436,3282.72833333333,Afri,comm,1160164,-5.000654015792133,-0.3060460645716913,16234,607,9.67092200333943,9.69486308732112,13.96407193239978,264993.55935884925
Ethiopia,19.8,109.224559,67.66684324,20.3184,750.6946936,5.798468,7.47,182.634,1662.075,Afri,comm,114963583,0.15665813605662735,-1.5147664664883662,143015,2184,8.223989502860968,11.870704798845832,18.560125966611913,114644.71666649429
Fiji,29.9,48.35703339,239.7889574,55.7402,5927.294145,3.812702,14.49,412.82,10043.65,WPac,spor,896444,0.32511806248386466,2.7293597149118156,56,2,8.570468520275098,4.02535169073515,13.706191104934076,32122.388872032163
Finland,42.8,18.14854727,46.89010253,85.3306,46343.86227,2.271507,5.76,153.507,32310.1125,Euro,comm,5530719,0.13540564208533235,-0.7624856518736151,47885,702,11.532246515542637,10.77655758195572,15.525828383130081,4171.89588369975
France,41.7,47.11922029,70.20377468,80.181,38922.54789,2.344204,4.77,86.06,68067.8575,Euro,comm,67391582,0.11877868924220603,-0.7757910812951239,3392425,81611,11.541141339730508,15.037055562856512,18.026030671939928,6622.599647534614
Gabon,21,8.224764233,151.18125,88.9528,7464.6409,5.581314,7.2,259.967,3064.195,Afri,comm,2225728,-2.3415507384284022,-1.5392949155181057,11836,71,9.859852934368663,9.3789010135201,14.615594611078407,85486.74887497483
Gambia,21.8,225.3065217,82.3163075,60.5892,708.3577634,6.567363,1.91,331.43,9713.19666666667,Afri,comm,2416664,0.0631390862194517,-0.9783240529742637,4302,135,7.509593314910893,8.366835309827675,14.697898634713864,109080.59721996936
Georgia,38.6,65.19733021,78.6664891,58.2374,4370.769825,2.964227,7.11,496.218,23537.6875,Euro,comm,3714000,0.10510173881853316,0.22684571544752002,244912,3079,10.722086126443125,12.408654241331488,15.127620020894788,12044.503769520732
Germany,47.8,237.3075967,60.1511108,77.2746,44400.56462,2.156963,8.31,156.139,63751.525,Euro,comm,83240525,-0.16160241132046488,-0.6282153788763527,2277045,61764,9.521152617533028,14.638389107696444,18.23724486653373,7409.216793142522
Ghana,21.4,130.8214292,96.05532394,55.4018,2021.120124,6.786804,4.97,298.245,1779.394,Afri,comm,31072945,-0.20512557983320076,-1.782324269488563,71530,466,8.649776559807759,11.17787222110243,17.251848062844495,144710.2370567064
Greece,45.3,83.26518231,53.54714327,78.7206,19024.2586,2.491165,4.55,175.695,28167.8771428571,Euro,comm,10715549,0.2360741106823416,-0.7712766998845461,169199,6161,11.211130647894697,12.03883081597131,16.187206422161495,9089.525334632877
Grenada,33.3,327.8058824,128.8380674,36.1802,10034.52604,3.42442,10.71,243.964,14126.2033333333,Amer,spor,112519,-0.7941999858805551,1.0239416544371807,148,1,10.774433545265426,4.997212273764115,11.630877375255379,17700.389845270576
Guam,29.4,306.9777778,199.374933516452,94.6978,35542.53265,3.173353,10.18,155.898,1977.458,WPac,clust,168783,-0.45038596836018086,1.4220495697853093,7457,130,9.018411290364357,8.916908467543795,12.036369145171836,19267.503522274164
Guatemala,23.2,152.5471258,220.1783569,50.6926,4342.453438,4.772492,8.30271999999999,236.460414000002,17997.3566666667,Amer,comm,16858333,0.6312687710386825,1.3388645990655503,153613,5580,9.806884398670988,11.942191731531,16.640355632577357,42935.71965864004
Guinea,19.1,50.52221227,140.5542882,35.8068,839.7120501,6.261439,2.42,336.717,1036.68714285714,Afri,comm,13132792,1.2168555112650603,-1.5859261988164017,14748,79,8.16933444095621,9.598862759354034,16.390622866476445,264537.5514209012
Guinea-Bissau,18,66.65394737,128.0463331,42.9476,695.8105251,6.597531,2.42,382.474,6220.946,Afri,comm,1967998,0.7802765656610297,-1.3110561888801349,2781,45,8.652652191486222,7.930565854233965,14.492527340333657,193953.7161115001
Guyana,27.5,3.957348235,197.276783,26.5512,6053.713492,4.766184,11.62,373.159,14377.7166666667,Amer,clust,786559,0.5339257605009962,2.617586534251112,7982,180,10.00020111023579,8.984944285608679,13.575423014560116,41116.2983069293
Haiti,24.1,403.5985486,116.9728216,54.3278,1331.437916,4.632082,6.65,430.548,18586.434,Amer,comm,11402533,0.7627605006659455,1.38165009966367,11904,251,9.502741425924766,9.384629757072872,16.249346081665976,124247.03967092224
Honduras,45.6,85.68703191,160.9768376,56.4522,2435.840574,4.61829,7.21,240.208,9712.614,Amer,comm,9904608,0.8702605104457994,1.8752680415157728,154571,3724,9.906173804827626,11.948408816686154,16.108510661359908,23055.451119317393
Hungary,43.6,107.9814868,52.13354734,71.0672,14709.05221,2.551818,7.55,278.296,58919.5585714286,Euro,comm,9749763,0.4148263751427169,-0.3434088762592885,382239,13367,10.872857352354677,12.853801346398827,16.092753534986286,6992.9704742566555
Iceland,37.1,3.518413965,92.33924551,93.7752,65051.14194,2.265737,5.31,117.992,31932.41125,Euro,comm,366425,0.13463523866230911,-0.793494924160621,6464,31,12.063450525744486,8.774003600200931,12.811549140895501,5827.37525005117
India,28.7,454.9380726,86.6361734,33.6122,1885.05656,3.794337,10.39,282.28,12718.7666666667,SEAs,clust,1380004385,1.524644700029924,1.165973479579233,10846834,154560,10.172722505825336,16.199383798134622,21.04535251364671,58786.64510910232
Indonesia,31.1,147.7521901,239.5649064,54.6542,3752.321661,3.590123,6.32,342.864,3355.014,SEAs,comm,273523621,0.7693413263053617,2.1492289066803685,1166031,31729,8.085610263091626,13.969116232160083,19.426898541727727,37560.97167198588
Iran (Islamic Republic of),31.7,50.22242012,17.60874276,74.3842,5307.030804,2.74494,9.59,270.308,26210.817,EMed,comm,83992953,0.012168774596887255,0.9329247660632787,1473740,58543,9.443520824653652,14.203313945399332,18.24624346043124,9336.182562839527
Iraq,21.2,88.53057004,14.71366144,70.2888,5352.312834,5.10372,8.83,218.612,25987.0928571429,EMed,comm,40222503,0.3985676952839524,-0.918369364381057,630246,13113,9.975469738234604,13.353865498342204,17.509937173092446,14691.165467748238
Ireland,37.8,70.65344753,98.02790506,62.9594,70459.40734,2.307077,3.28,126.459,52786.69,Euro,comm,4994724,0.1838545533937778,-0.8094753224386413,206752,3731,11.710703354847498,12.239275286357891,15.423892713282909,6253.248041333215
Israel,30.4,410.4805915,20.33762782,92.338,39790.41806,2.467147,6.74,93.32,29478.4825,Euro,comm,9216900,0.33861039082894717,-0.847473323916287,735933,5493,12.370018320242774,13.508894360958598,16.03654931339975,6174.145056363853
Italy,46.5,205.4183722,76.35498878,70.1476,32284.13089,2.359126,4.78,113.151,45941.1285714286,Euro,clust,59554023,0.041628126060478526,-0.6328582479389201,2605012,90224,11.614106486698617,14.772947839684907,17.9023944081588,5305.577792788238
Jamaica,29.4,270.9930748,176.2444825,55.3936,5151.305334,3.383996,11.28,206.537,23094.6833333333,Amer,comm,2961161,-1.1289612127897422,0.9739248717029948,17299,358,8.899861618519365,9.758403975346978,14.901091979128001,15956.12240266571
Japan,48.6,347.0734584,136.2051696,91.5374,38215.82057,2.301526,5.72,79.37,18308.0725,WPac,clust,125836021,0.07038005012827392,-0.0851760446943045,404689,6418,9.100605413490571,12.910874149866931,18.650490196697543,12841.925381604366
Jordan,23.5,112.1424983,8.38079609,90.7382,4258.55369,3.785011,11.75,208.257,25971.6466666667,EMed,comm,10203140,0.6373216630852843,-0.8913043084710938,336836,4387,11.005248312894746,12.7273514439992,16.138206074017777,11067.625191852705
Kazakhstan,31.6,6.769825721,21.77255298,57.3518,9419.637369,3.219706,7.11,466.792,20237.0214285714,Euro,clust,18754440,0.2842914744158175,-0.013928166433347773,245064,3188,11.214408142639908,12.409274679903483,16.746941082348,16259.104057492521
Kenya,20,90.29941666,54.80080484,26.5724,1568.856027,5.933747,2.92,218.637,1077.87333333333,Afri,comm,53771300,-1.5737207035331933,-0.8107392800667241,101950,1774,7.205650766489283,11.532237776002601,17.800250425544,138909.0178403721
Kuwait,29.7,232.1723906,9.824115962,100,30655.37261,2.869504,15.84,132.235,26840.1475,EMed,comm,4270563,0.0660701354229937,-0.48145904313584714,171993,969,11.262906084895135,12.055209057292998,15.26725622663044,7095.553202235864
Kyrgyzstan,27.3,32.96558916,33.85907856,36.1596,1220.41043,3.321791,7.11,436.362,8831.22333333333,Euro,clust,6591600,0.6193016137887701,0.08798244804831118,86053,1450,10.731039370859184,11.36271866448345,15.701306669118711,18328.032617270466
Latvia,44.4,30.99347057,55.69609228,68.088,15891.95885,2.663625,4.91,350.06,47832.895,Euro,comm,1901548,-0.5093899509983019,0.09465456088882625,72675,1358,11.679384685813915,11.193752725427077,14.458178849260877,12617.8859802645
Lebanon,33.7,669.4941349,44.97702968,88.4304,7736.823285,3.803233,12.71,266.591,34376.2633333333,EMed,comm,6825442,0.49560256408472725,-0.269370817034176,321977,3679,10.876348715835228,12.682235393403975,15.736167658843097,9481.862003955202
Lesotho,24.7,69.43781291,60.71625439,27.7386,1137.160768,4.544893,3.94,405.126,8549.04833333333,Afri,comm,2142252,-5.003002915853638,1.0307748279587736,9381,182,9.788830971261394,9.14644164612595,14.577368170128782,413845.5857667538
Liberia,18,50.03090739,207.2174294,50.7074,684.5848293,7.891935,2.42,272.509,11448.985,Afri,comm,5057677,1.2774110884235848,-3.2819886715584414,1957,86,9.09779916318414,7.579167967396076,15.436417844940062,181875.78344761836
Libya,25.8,3.795632381,3.409302308,79.8244,5938.576684,4.249871,10.43,341.862,11691.36,EMed,comm,6871287,-0.11974656202696232,-1.137661277852277,124879,1972,10.744179746997453,11.735100547469871,15.74286198289783,10768.038817182285
Lithuania,44.5,44.72307577,55.26462994,67.5292,16983.96583,2.643048,3.67,342.989,42089.57,Euro,comm,2794700,-0.48138689632395937,0.13424069047003334,192407,3052,11.834126045495855,12.167368199088298,14.843235324284635,11481.118860700612
Luxembourg,39.5,250.1851852,78.70049942,90.714,108928.1788,2.293816,4.42,128.275,52147.658,Euro,comm,632275,0.11760613745732876,-0.759498303479031,52401,603,13.30688645906308,10.866680954096502,13.357079705071154,5810.74894942865
Madagascar,20.3,45.13985562,117.923334,36.5246,501.8687864,5.997551,3.94,405.994,7105.9,Afri,comm,27691019,-0.0486573046180562,-0.19839724415407212,19356,277,5.873179197813224,9.87075772791321,17.136618694758944,153454.15212058465
Malawi,16.8,192.4407616,83.09760022,16.7288,369.1806521,6.417101,3.94,227.349,2162.332,Afri,comm,19129955,-1.3483412581366763,-0.922020704978926,27413,880,6.261611906101748,10.21877263241388,16.766765989087478,170507.17359241046
Malaysia,29.2,95.96282149,259.0780455,75.4286,10564.76518,3.564684,16.74,260.942,2853.082,WPac,clust,32365998,0.21012521336274426,1.4411013325109676,245561,906,10.283659228431286,12.411300667857624,17.292618985265726,28095.002876166527
Maldives,29.5,1718.986667,197.0833333,39.3818,9744.751201,4.044547,9.19,164.905,9217.71714285714,SEAs,clust,540542,0.4941764374968608,1.2892022081022323,16909,55,11.913465082742139,9.735601303538429,13.200327618870396,9912.963220249305
Mali,16,15.63501586,26.59095843,41.5676,827.2043904,6.911123,2.42,268.024,1615.16,Afri,comm,20250834,1.6359941502959108,-0.24095822128107858,8181,344,8.90511040656323,9.009569671513699,16.823706535853923,290666.83120310004
Malta,42.3,1514.46875,35.1589416,94.546,27777.82338,2.289586,8.83,168.711,25222.942,Euro,clust,525285,0.0666454225495341,-0.7009223562731067,22621,338,12.553577657360409,10.026633957357836,13.171696251422983,6550.370836783841
Mauritania,21,4.272163578,8.235993237,52.8108,1583.872509,6.52399,2.42,232.347,8701.74,Afri,comm,4649660,0.5115020466816419,-0.5183824960565527,16776,423,7.357211115865153,9.727704572581755,15.352304656610697,79910.13222472182
Mauritius,36.3,623.3019704,146.2398337,40.862,10346.91167,3.891203,22.02,224.644,11100.93,Afri,clust,1265740,-1.4919201581124604,-1.850359392342597,581,10,10.661953956827928,6.364750756851911,14.051167489346671,17090.22277876973
Mexico,29.3,64.91462641,62.21506167,79.8658,9456.311625,4.38985,13.06,152.783,30049.3025,Amer,comm,128932753,0.47264499790042025,1.2567689176318413,1932186,166194,8.793738580577,14.47416256241255,18.674801531831047,14245.646783017191
Monaco,55.4,980.548464479635,82.59121766,100,172346.5606,2.328892,5.46,128.543475961172,66576.0666666667,Euro,spor,39244,0.050178521796830494,-0.7591495040035685,1665,20,12.587535255252153,7.417580402414544,10.577553845283282,10303.548573030272
Mongolia,29.8,2.040608667,18.56879849,68.3756,3944.595588,3.293401,4.82,460.043,8645.224,WPac,clust,3278292,0.5570161076035871,0.36809638302167336,2072,3,10.738447484168264,7.6362696033793735,15.002833113025169,26650.314126990517
Montenegro,39.6,46.26223048,97.15418157,66.4774,7816.462374,2.634288,10.08,387.305,43050.2625,Euro,clust,621718,0.304652217440334,-0.2909005556814967,64993,829,11.469451407526968,11.08203485077085,13.340241892709463,5939.589399052304
Morocco,29.1,80.72851893,24.8487001,61.9048,3046.919776,4.422784,7.14,419.146,33943.204,EMed,clust,36910558,0.7454225864358512,0.1937305482675947,475593,8416,10.194792840707239,13.072317725439818,17.424008192746147,19657.279919745455
Mozambique,17,37.50853531,79.08165138,35.4594,497.418022,7.771409,3.3,329.942,4416.618,Afri,comm,31255435,-0.5551705827751436,-1.1163378550572645,44914,469,7.652652524594028,10.712504829138487,17.257703839024355,286033.9029356015
Myanmar,29.2,82.238615480000007,165.9868137,30.3386,1334.302001,4.108704,4.61,202.104,1614.794,SEAs,clust,54409794,1.34134269664122,2.546433272920886,141411,3156,8.275890251948582,11.859425822912488,17.812054732386205,55267.899268282476
Namibia,21.8,2.973745582,22.70167426,48.988,5029.733195,5.97993,3.94,243.811,14333.93,Afri,comm,2540916,-3.5350567258725905,-2.373449241028746,35070,376,9.831213858603505,10.465101343134224,14.748035203904639,151054.8457721546
Nepal,25.3,195.9391071,105.2775371,19.3456,918.169432,5.47581,7.26,260.797,4875.435,SEAs,clust,29136808,3.119549465864885,0.19232013446702653,272050,2040,9.560596670412883,12.513741151914072,17.187512812580376,52622.97606518875
Netherlands,42.8,511.4759276,66.78641099,91.0502,49046.83126,2.093076,5.29,109.361,46346.1433333333,Euro,comm,17441139,-0.12721994193233674,-0.6883782114189956,1025992,14685,9.18134545272274,13.841170507411498,16.674342283945553,6876.2104871705915
New Zealand,37.2,18.38517337,142.9639449,86.472,41321.06377,2.586884,8.08,128.797,12768.7916666667,WPac,clust,5084300,0.20119993984862816,-0.4813258591393874,2074,25,10.989672929321037,7.637234388789473,15.441667918205143,4683.939092893811
