country,reg,trans,HIV.AIDS,Malaria,density,latitude,longitude,rainfall,temp,GDPpc,PerUrb,Diabetes_prevalence,cardioDR,Hospital_beds_per_thousand,PropOver_70,AirConnectivityIndex,IHME_meanExcessDeaths,IHME_lowerCIExcessDeaths,IHME_upperCIExcessDeaths,WHO_meanExcessDeaths,WHO_lowerCIExcessDeaths,WHO_upperCIExcessDeaths,pscore.mean,pscore.mean.se,lag_rate,pop,PathCompPC1,PathCompPC2,PathCompPC3,cases,deaths,log_tests,log_cases,log_pop,IDburd_perMil,Vaccinated_perMil
Bermuda,Amer,spor,0.002899534,0,1183.703683,32.321384,-64.75737,72.66912532,19.47115897,110164.5579,100,13,139.547,2.11,17.20115117,0.07,145,84,213,-2677.144853,139.0463892,21428.96741,7.0257312,0.325509009,9.17374870209091,63903,-0.6022356665712718,-1.800215200391215,0.1160786674484035,710,12,9.18134545272274,6.565264970035361,11.065121587620395,12711.098394441575,738353.4419354334
Bhutan,SEAs,clust,9.928e-4,9.31135e-4,19.77752777,27.514162,90.433601,159.6253066,12.25373468,3105.89273,40.156,9.75,217.066,1.7,6.092974373,0.03,108,45,160,-396.9800105,-2713.577005,2380.549062,-4.2519459,0.092855319,7.064627312499999,771612,0.2805858034983223,3.3216213304038797,-0.7595389979797161,861,1,11.41074537528063,6.7580945044277305,13.556237111992312,35910.23868213558,1104678.257984583
Bolivia (Plurinational State of),Amer,comm,0.001441466,0.001358619,10.48014585,-16.290154,-63.588653,91.00180651,20.90170128,3312.882825,69.0818,6.89,204.299,1.1,7.338631646,0.02,161000,130000,193000,88030.42286,82896.08892,93104.36517,47.5567247,0.015210695,31.72780201033333,11673029,-0.39423060477599714,-0.6541949233591551,0.22527408952795222,227967,10796,9.217855462810176,12.336956160619085,16.272791524997345,45193.11971211585,474864.49318338884
Bosnia and Herzegovina,Euro,comm,4.18e-5,0,64.92048828,43.915886,17.679076,90.6193324,10.48909301,5459.4494780000005,47.8876,10.08,329.635,3.5,17.20115117,0.08,20900,19600,22000,15716.04809,9169.552139,22050.32287,20.4048048,0.03533504,17.87036038,3280815,-1.716339545602597,0.41181313273669656,0.19508025763495324,124101,4813,10.252257504189952,11.72885102917796,15.00360242510513,7240.48356886932,278109.55509530404
Botswana,Afri,comm,0.157515946,8.07414e-4,3.977424876,-22.328474,24.684866,31.47796862,22.29560192,7635.579977,68.6812,4.81,237.372,1.8,4.365895341,0.02,17200,14200,20700,7412.645174,-4331.334807,21428.96741,17.5988769,0.103858093,12.747257112571429,2351625,0.5062665834154192,-2.331550014569102,-1.4354811579112292,24435,179,9.152700877729728,10.103771809704256,14.670617136513432,196815.82573752195,489284.21835964493
Brazil,Amer,comm,0.004276361,7.25891e-4,25.06171624,-14.235004,-51.92528,147.6897981,25.50485192,9033.580888,86.3028,8.11,177.961,2.2,9.251608036,0.03,792000,730000,847000,681267.2918,617495.8923,745423.3367,23.8846155,0.009553456,17.03018245725,212559409,0.35852943883928456,-1.9954990779474837,0.37583270542745445,9524640,231535,5.478490784409432,16.06939268298719,19.174732079020547,22682.092233329462,781633.4397128476
British Virgin Islands,Amer,clust,0.001329502,0,198.68,18.420695,-64.639968,197.702842,25.71297404,108928.1788,47.3432,10.71,317.84,2.61,7.805481947,0.04,11700,15100,27400,8247.219054,-229.8614771,35476.88166,4.05315298,0.093625291,7.278638998,30237,-0.9959232269470281,0.04712714938350393,1.063536613980501,141,1,12.635825975530723,4.948759890378168,10.316821619022988,1069563.5969176835,242418.22932169196
Brunei Darussalam,WPac,spor,2.6587e-4,0,81.39696395,4.535277,114.727669,272.6018391,25.71679615,29921.92243,77.3072,12.79,201.285,2.7,5.208811752,0.03,132,44,217,-110.091573,-1098.711042,1021.196615,-2.1521682,0.135319577,5.443905709874999,437483,-1.5893760642016563,0.004216640364566704,0.22312434373401066,182,3,10.308544744124326,5.204006687076795,12.98879312688199,11251.548094440242,931416.763622815
Bulgaria,Euro,clust,0.004212876,0.31023491,64.71109985,42.733883,25.48583,52.67103913,11.28779103,8438.950271,74.6686,5.81,424.688,7.454,21.25296727,0.07,82500,81200,83800,57494.15031,45508.44998,69248.40558,26.4833171,0.023420413,20.47717083142857,6927288,0.5036534725504729,1.3724292893270487,-0.042538414470616515,224164,9391,10.478439706333008,12.320133205808483,15.750978952580484,10897.806767958833,282599.77064617496
Burkina Faso,Afri,comm,0.0073639,0.353547631,72.19128289,12.238333,-1.561593,66.58027099,28.69861186,735.3127105,28.749,2.42,269.048,0.4,2.407287537,0.02,21400,14200,31800,22159.51131,-54780.29549,113630.5259,7.2921378,0.092239141,4.912752040999999,20903278,2.5534447884338576,0.15573687384956142,-1.405247520942219,11309,134,7.357211115865153,9.333354147871328,16.855416546741864,319039.6494272334,49656.18311156748
Burundi,Afri,comm,0.016703432,0.28462141,435.178271,-3.373056,29.918886,103.0768135,20.88023718,282.7480102,12.714,6.05,293.068,0.8,2.312095315,0.02,4310,2730,6350,9337.437593,-30895.37868,57127.82138,6.0936329,0.104287052,7.04676206575,11890781,1.6106347884222165,-0.022433893265255522,0.772902015157773,1730,3,7.205650766489283,7.455876687491824,16.291273951959727,206787.03316460038,397.2825670576222
Cabo Verde,Afri,comm,0.005222856,0.002623379,134.9297767,16.002082,-24.013197,28.93012,23.42969808,3337.546481,65.2544,2.42,182.219,2.1,4.698373444,0.03,659,505,790,926.6293968,-932.1847832,3139.888521,15.1889751,0.114332972,7.899844997499999,555988,-0.49198856112358813,-0.3407978562515822,-0.06946406920410453,14451,136,10.172722505825336,9.57851889529833,13.228501990265995,34955.29446678705,560229.7171881407
Cambodia,WPac,spor,0.004401892,0.004632365,92.05641287,12.565679,104.990963,156.7822484,27.51141923,1394.600851,22.9886,4,270.892,0.8,4.928984331,0.02,17500,12700,23700,12517.74986,-37651.14058,71837.09903,6.2816467,0.093471464,0.5252916434,16718971,0.39078135197222835,0.7619787435593866,0.61462335941306,476,0,9.344253241829014,6.16541785423142,16.63205462066478,61891.37728631744,354997.92421435507
