country,reg,trans,HIV.AIDS,Malaria,density,latitude,longitude,rainfall,temp,GDPpc,PerUrb,Diabetes_prevalence,cardioDR,Hospital_beds_per_thousand,PropOver_70,AirConnectivityIndex,IHME_meanExcessDeaths,IHME_lowerCIExcessDeaths,IHME_upperCIExcessDeaths,WHO_meanExcessDeaths,WHO_lowerCIExcessDeaths,WHO_upperCIExcessDeaths,pscore.mean,pscore.mean.se,lag_rate,pop,PathCompPC1,PathCompPC2,PathCompPC3,cases,deaths,log_tests,log_cases,log_pop,IDburd_perMil,Vaccinated_perMil
Finland,Euro,comm,2.6002e-4,0,18.14854727,61.92411,25.748151,46.89010253,2.402187596,46343.86227,85.3306,5.76,153.507,3.28,22.14064462,0.06,8780,7190,10200,2856.999815,-1372.302404,7034.926923,2.7115063,0.012697523,14.420805187888888,5530719,-2.1416245815322164,0.417818066892919,-0.4487728083014971,47882,700,11.532246515542637,10.776494929893925,15.525828383130081,4171.89588369975,775790.9957095993
France,Euro,comm,0.001652556,0,47.11922029,46.227638,2.213749,70.20377468,11.54132609,38922.54789,80.181,4.77,86.06,5.98,20.39137028,0.12,155000,151000,160000,81849.99601,26319.84179,135809.9631,6.6711682,0.016134311,9.985009976125,67391582,-2.1487811721591026,0.4342842223998575,-0.4529868150387617,3392407,81580,12.212000848957649,15.037050256903468,18.026030671939928,6622.599647534614,788621.5521695276
Gabon,Afri,comm,0.028935847,0.185191235,8.224764233,-0.803689,11.609444,151.18125,25.29725769,7464.6409,88.9528,7.2,259.967,6.3,3.544727257,0.02,3980,3240,4770,1602.052341,-5603.934546,10390.03765,5.5983284,0.093357734,7.30085160725,2225728,1.5501993287903342,-3.0616026499592204,-1.952610950699661,11836,71,10.061353280162637,9.3789010135201,14.615594611078407,85486.74887497483,110253.36429249216
Gambia,Afri,comm,0.011759807,0.026574461,225.3065217,13.443182,-15.310139,82.3163075,27.97866699,708.3577634,60.5892,1.91,331.43,1.1,2.560925431,0.02,6340,5230,7840,2904.17925,-4595.199472,11948.899,10.1277089,0.101454024,11.181097447999997,2416664,0.27133503489501637,0.12763177615029014,-1.5131085524953125,4302,135,7.509593314910893,8.366835309827675,14.697898634713864,109080.59721996936,109556.81054544612
Georgia,Euro,comm,0.001288523,0,65.19733021,42.315407,43.356892,78.6664891,6.957606122,4370.769825,58.2374,7.11,496.218,2.6,15.06105563,0.04,15800,14100,18000,24464.6006,10065.85512,41166.26934,23.8590976,0.090816524,22.552554049999998,3714000,-1.2835373832859158,0.21368366475631417,0.3492537258981621,244912,3078,10.252257504189952,12.408654241331488,15.127620020894788,12044.503769520732,364555.4658050619
Germany,Euro,comm,9.91152e-4,0,237.3075967,51.165691,10.451526,60.1511108,9.429345385,44400.56462,77.2746,8.31,156.139,8,21.56299232,0.12,203000,193000,210000,122432.1428,20057.15521,222613.8639,6.5110179,0.018920351,6.922367637499999,83240525,-2.011661083340853,0.03274973506526807,-0.4070558715214899,2277059,61753,9.521152617533028,14.638395255996967,18.23724486653373,7409.216793142522,753438.2441725349
Ghana,Afri,comm,0.010017413,0.192118039,130.8214292,7.946527,-1.023194,96.05532394,27.62778301,2021.120124,55.4018,4.97,298.245,0.9,3.097322178,0.02,35900,28100,44700,20906.88946,-72609.30779,133631.0642,5.5036714,0.092170965,4.4596700564,31072945,1.2296522485019579,-0.702949118039355,-1.4158771990727346,71533,464,8.649776559807759,11.177914160667523,17.251848062844495,144710.2370567064,191008.60893616616
Greece,Euro,comm,4.4683e-4,0,83.26518231,39.074208,21.824312,53.54714327,14.30444054,19024.2586,78.7206,4.55,175.695,4.21,21.94147013,0.06,25400,23400,27400,19393.99144,5176.592047,33321.49211,7.7110877,0.018946846,17.896599899857144,10715549,-2.162186470640666,0.5534810781361046,-0.4251363800297017,169193,6165,11.211130647894697,12.038795354140058,16.187206422161495,9089.525334632877,694038.5415623595
Greenland,Euro,No_cases,0.003621978,0,0.136491656,71.706936,-42.604303,45.10290513,-17.07233045,49377.65016,86.5678,2.16,199.941,3.39,15.20084135,0.02,22,14,29,4239.704536,-100.7906542,4096.302021,7.7454198,0.069081497,8.839161692000001,56367,-1.506586006009596,-0.1948646056625653,0.2683964681495492,30,0,11.595142806412833,3.4011973816621555,10.939639159861633,12015.899066829883,13068142.70761261
Grenada,Amer,spor,0.00251472,0,327.8058824,12.262776,-61.604171,128.8380674,27.16824263,10034.52604,36.1802,10.71,243.964,3.7,9.677419355,0.03,255,132,392,-266.7174816,-867.9854563,436.0403845,-12.7304355,0.221991792,5.978077875142857,112519,-0.1577832499814742,-1.1231313883307947,0.5202811004623734,148,1,11.098297112275217,4.997212273764115,11.630877375255379,17700.389845270576,369146.54413921206
Guam,WPac,clust,7.13961e-4,0,306.9777778,13.444304,144.793731,67.66684324,25.50970032,35542.53265,94.6978,10.18,155.898,0.6,10.18984542,0.03,333,292,382,190.8957738,-5037.956353,42839.95758,25.34767572,0.021758276,-2.0849923635,168783,0.1473060921192751,-0.8104583750533609,0.937222026717919,7457,130,9.018411290364357,8.916908467543795,12.036369145171836,19267.503522274164,6836920.779936369
Guatemala,Amer,comm,0.001740349,0.001598859,152.5471258,15.783471,-90.230759,220.1783569,23.93217083,4342.453438,50.6926,7.17,243.811,1.38,4.928984331,0.04,51100,43200,59200,49395.6912,43306.08207,55465.42414,24.9001272,0.013676882,26.103946099999998,16858333,1.8886408925757912,0.34425239376797895,0.30819192292540487,153613,5573,10.172722505825336,11.942191731531,16.640355632577357,42935.71965864004,386251.5943895521
Guinea,Afri,comm,0.01003892,0.305306526,50.52221227,9.945587,-9.696645,140.5542882,26.19758013,839.7120501,35.8068,2.42,336.717,0.3,2.94190559,0.02,26700,18500,38900,12529.66638,-40548.75024,77075.30271,5.8112633,0.095800619,7.440995850857142,13132792,1.5879855766686295,0.8859582368523562,-0.8598792751844719,14743,84,8.085610263091626,9.59852367284982,16.390622866476445,264537.5514209012,146882.3994166663
Guinea-Bissau,Afri,comm,0.016864644,0.026412745,66.65394737,11.803749,-15.180413,128.0463331,27.48197981,695.8105251,42.9476,2.42,382.474,0.9,2.863260455,0.02,4350,3310,5560,2841.155031,-5476.470945,12877.7812,8.819935304,0.095975426,9.3659029874,1967998,3.676042654328237,0.6733118825426093,-2.3125978106609613,2780,46,6.261611906101748,7.930206206684683,14.492527340333657,193953.7161115001,196222.76038898414
Guyana,Amer,clust,0.012610219,0.014096154,3.957348235,4.860416,-58.93018,197.276783,26.05163301,6053.713492,26.5512,11.62,373.159,1.6,6.711584305,0.02,2690,1390,3930,2811.18165,-2052.125888,8704.263631,16.38122319,0.107562981,27.479737811333333,786559,2.62429683289921,-0.34539837588753797,3.990933231578154,7982,180,7.140637653634863,8.984944285608679,13.575423014560116,41116.2983069293,522258.34298507805
Haiti,Amer,comm,0.01381867,0.001683191,403.5985486,18.971187,-72.285215,116.9728216,25.13607564,1331.437916,54.3278,6.65,430.548,0.7,5.063669546,0.05,27900,14100,42200,9608.768303,-120310.1333,150339.554,11.2039067,0.258525094,15.17018827,11402533,1.912813382564222,0.7785347329393535,0.6540601611040899,11908,246,8.795161386557508,9.384965722135666,16.249346081665976,124247.03967092224,10972.211174482021
Honduras,Amer,comm,9.90512e-4,0.001268716,85.68703191,15.199999,-86.241905,160.9768376,24.01401122,2435.840574,56.4522,7.21,240.208,0.7,4.828189524,0.04,55400,46900,67100,22662.0853,-11338.62022,63319.52701,20.03542523,0.11457378,14.424704672,9904608,2.325020353685243,0.5135716553711794,0.5054549904795623,154568,3721,9.831213858603505,11.94838940794122,16.108510661359908,23055.451119317393,494067.9126321809
Hungary,Euro,comm,2.23069e-4,0,107.9814868,47.162494,19.503304,52.13354734,10.8767866,14709.05221,71.0672,7.55,278.296,7.02,19.69445761,0.09,53800,52400,55200,36496.70787,21945.10908,50452.84296,13.69438972,0.021322685,17.414259067142858,9749763,-1.9109726670108216,0.7078247679279848,0.019060064723086037,382239,13372,10.872857352354677,12.853801346398827,16.092753534986286,6992.9704742566555,629264.7318709183
Iceland,Euro,comm,5.9905e-4,0,3.518413965,64.963051,-19.020835,92.33924551,2.307253397,65051.14194,93.7752,5.31,117.992,2.91,15.19212107,0.04,-314,-703,11,-10.63273477,-279.0190004,251.1023531,-0.20991771,0.018058867,6.110893879999999,366425,-2.1618393835451974,0.430569773968599,-0.4743333644746166,6464,31,12.063450525744486,8.774003600200931,12.811549140895501,5827.37525005117,773094.084737668
India,SEAs,clust,0.001345282,0.004438405,454.9380726,20.593684,78.96288,86.6361734,24.56394071,1885.05656,33.6122,10.39,282.28,0.53,6.377924156,0.04,4070000,3710000,4360000,4735940.21,1392120.572,9250770.016,25.87815948,0.135239718,11.3887850345,1380004385,0.7473123155357464,1.5377169122592074,1.0137615480287616,10847304,155154,10.172722505825336,16.199427127811983,21.04535251364671,58786.64510910232,609447.2707055927
Indonesia,SEAs,comm,0.001160996,0.00302229,147.7521901,-0.789275,113.921327,239.5649064,26.26064519,3752.321661,54.6542,6.32,342.864,1.04,6.050302682,0.03,736000,594000,955000,1028700.75,234061.1006,1913918.439,27.45858362,0.1130887,1.620398099333333,273523621,1.6641664111135723,0.38297467152771847,1.5586947350472657,1166078,31764,8.085610263091626,13.969156539023961,19.426898541727727,37560.97167198588,578669.6389194117
Iran (Islamic Republic of),EMed,comm,3.41184e-4,5.19e-5,50.22242012,32.427908,53.688046,17.60874276,17.76754189,5307.030804,74.3842,9.59,270.308,1.5,6.358522055,0.04,274000,231000,335000,232153.3724,191492.6911,271508.0051,29.60772026,0.021758276,16.313782210000003,83992953,-0.5156290731157308,-0.09941156116724853,0.7441965390128534,1473756,58536,9.443520824653652,14.203324802072249,18.24624346043124,9336.182562839527,709387.7744719846
Iraq,EMed,comm,6.15e-5,0,88.53057004,33.223191,43.679291,14.71366144,22.33393337,5352.312834,70.2888,8.83,218.612,1.4,3.398533134,0.04,183000,142000,237000,66734.6084,5806.531276,137262.0096,21.51878041,0.09807577,23.24875215985714,40222503,-0.5859081047166823,0.43242832743854054,-1.3143537368495875,630263,13126,9.975469738234604,13.35389247157286,17.509937173092446,14691.165467748238,211294.68248159494
Ireland,Euro,comm,4.86813e-4,0,70.65344753,53.41291,-8.24389,98.02790506,9.64084359,70459.40734,62.9594,3.28,126.459,2.96,14.22283075,0.08,1170,84,2330,2921.840662,-427.8889452,6158.460566,4.695760328,0.018547328,7.8268892426,4994724,-2.1793200042489898,0.4935883151350232,-0.4754032150014516,206754,3730,11.710703354847498,12.23928495973627,15.423892713282909,6253.248041333215,787490.960461479
Israel,Euro,comm,0.001551045,0,410.4805915,31.046051,34.851612,20.33762782,20.26481766,39790.41806,92.338,6.74,93.32,2.99,12.20867441,0.05,9280,7860,10600,6177.075575,1461.378217,10765.40072,6.987092484,0.017112172,20.382572807499997,9216900,-2.227333935959491,0.7260407814745677,-0.454327455298481,735934,5498,12.370018320242774,13.508895719777025,16.03654931339975,6174.145056363853,718219.0324295587
Italy,Euro,clust,0.001658128,0,205.4183722,41.87194,12.56738,76.35498878,12.62638042,32284.13089,70.1476,4.78,113.151,3.18,23.01213665,0.09,259000,242000,276000,160800.5772,84042.81118,234979.6658,12.20380198,0.020890368,16.334094178285714,59554023,-2.044882732209808,0.31191632260106783,-0.3446026384167523,2604998,90205,11.614106486698617,14.77294246541499,17.9023944081588,5305.577792788238,811222.0227338797
Jamaica,Amer,comm,0.005839854,0,270.9930748,18.109581,-77.297508,176.2444825,25.66470417,5151.305334,55.3936,11.28,206.537,1.7,8.922391673,0.04,6460,3680,8720,3592.308382,-3530.909541,12056.8425,9.21636785,0.105912083,17.931263163333334,2961161,-0.0775023536252385,-1.4697958247751766,0.4066512452179264,17298,358,8.899861618519365,9.758346166866458,14.901091979128001,15956.12240266571,242434.6396565401
Japan,WPac,clust,3.71838e-4,0,347.0734584,36.204824,138.252924,136.2051696,11.33879721,38215.82057,91.5374,5.72,79.37,13.05,28.00204928,0.05,111000,103000,116000,-19470.68873,-96676.71269,56787.63538,-0.587575085,0.008840054,11.969274737750002,125836021,-1.6933418724512341,0.22662456573390882,0.15510952528940203,404706,6443,9.100605413490571,12.910916156550943,18.650490196697543,12841.925381604366,804299.8753115374
Jordan,EMed,comm,5.61e-5,0,112.1424983,30.585164,36.238414,8.38079609,19.44318571,4258.55369,90.7382,11.75,208.257,1.4,3.893416292,0.04,27000,21300,33200,11928.88785,-112.0309166,25640.851,19.66740069,0.110328816,14.573561593833332,10203140,-1.6855800114088024,0.972741280143911,-0.7943624364907451,336839,4385,11.005248312894746,12.727360350370967,16.138206074017777,11067.625191852705,425454.2229156907
Kazakhstan,Euro,clust,9.69608e-4,0,6.769825721,48.019573,66.923684,21.77255298,6.810408141,9419.637369,57.3518,7.11,466.792,6.7,7.652343941,0.03,49000,46800,50900,76214.62538,64524.65354,87615.1391,28.83383776,0.020226081,17.437285736375,18754440,-1.4689586063003217,0.4758534002795356,0.18787865330843795,245060,3181,11.214408142639908,12.409258357503438,16.746941082348,16259.104057492521,477920.6417253728
Kenya,Afri,comm,0.034597479,0.070197799,90.29941666,-0.023559,37.906193,54.80080484,25.11858814,1568.856027,26.5724,2.92,218.637,1.4,2.42382671,0.02,171000,127000,266000,12350.91671,7241.025328,17419.54817,2.021424788,0.003002504,6.980195339500001,53771300,1.3239923423517541,-1.692548150659817,-1.4470187823885716,101944,1786,7.205650766489283,11.532178921892115,17.800250425544,138909.0178403721,112113.95298235305
Kiribati,WPac,No_cases,3.46547e-4,0,143.0209877,-3.370417,-168.734039,96.02805096,27.50574167,1624.243585,53.2446,11.62,329.942,1.7,4.458238878,0.02,234,286,4780,-45.40211773,-816.7243896,853.304965,-1.698112108,0.114275469,7.799816337200001,119446,1.7362345059705957,0.21760417974184337,1.7767930428040848,0,0,8.085610263091626,-Inf,11.690619665378692,82376.26418632687,5377249.970698056
Kuwait,EMed,comm,7.06e-5,0,232.1723906,29.31166,47.481766,9.824115962,26.08960545,30655.37261,100,15.84,132.235,2,2.763838983,0.04,3560,2670,4300,4239.704536,1122.53598,7881.049556,25.34767572,0.104531924,16.124371209750002,4270563,-1.949260700180885,0.27798516519570393,-0.2130181029178173,171994,969,11.262906084895135,12.055214871466209,15.26725622663044,7095.553202235864,754924.1165626171
Kyrgyzstan,Euro,clust,0.001009872,0,32.96558916,41.20438,74.766098,33.85907856,3.137479615,1220.41043,36.1596,7.11,436.362,4.5,4.600294583,0.03,22600,21200,23900,12312.99552,8012.723919,16461.38208,18.66394815,0.025213965,13.0595846885,6591600,-1.2133458452225017,0.8573287662842339,0.231081749872789,86051,1448,11.005248312894746,11.362695422722654,15.701306669118711,18328.032617270466,185674.19139510894
Lao People's Democratic Republic,WPac,spor,0.001250403,0.003504747,30.59578423,19.85627,102.495496,150.4519347,23.87064263,2388.948658,34.3722,4,368.111,1.5,4.600294583,0.03,4640,3180,6190,1756.087217,-19428.73408,27306.82257,1.9657572189999999,0.089938477,2.6364325512,7275556,1.7377492346242072,1.2202745299926983,-0.7498658216545202,45,0,7.357211115865153,3.8066624897703196,15.800030794218342,63415.93474093251,542447.3401070654
Latvia,Euro,comm,0.002072614,0,30.99347057,56.879635,24.603189,55.69609228,6.696891314,15891.95885,68.088,4.91,350.06,5.57,20.336511,0.04,12400,11700,13100,7668.246888,4272.621405,10922.531,12.84050427,0.02138777,14.8482548255,1901548,-1.4931432015235537,-0.5046178092746101,0.1635124265001234,72675,1358,11.679384685813915,11.193752725427077,14.458178849260877,12617.8859802645,689723.3201581028
Lebanon,EMed,comm,2.45793e-4,0,669.4941349,33.854721,35.862285,44.97702968,16.5730676,7736.823285,88.4304,12.71,266.591,2.9,7.273291633,0.07,36100,30200,44800,18520.09687,12145.09866,24631.96825,22.13491642,0.033106528,15.044576740666667,6825442,-1.3350562072589804,0.7112167807423809,-0.2334884201343299,321980,3677,11.267159917421722,12.682244710796285,15.736167658843097,9481.862003955202,315880.34884773765
Lesotho,Afri,comm,0.187166476,0,69.43781291,-29.609988,28.233608,60.71625439,13.46854051,1137.160768,27.7386,3.94,405.126,3.7,4.925825825,0.05,17800,14600,21900,3981.91891,-13921.37637,25507.70108,5.714584653,0.091859533,8.918125520833332,2142252,0.5352324516342106,-1.840193625059629,0.8728144027045737,9380,183,10.738447484168264,9.14633504200027,14.577368170128782,413845.5857667538,353229.6853964893
Liberia,Afri,comm,0.008011503,0.378951646,50.03090739,6.428055,-9.429499,207.2174294,25.71297404,684.5848293,50.7074,2.42,272.509,0.8,3.285693974,0.02,7970,6310,10700,4043.269639,-16380.24692,28104.02682,5.872650282,0.105981588,12.109652577666667,5057677,4.193967549967651,0.15088092994652036,-2.8415549991570557,1956,84,6.295448641586487,7.578656850594762,15.436417844940062,181875.78344761836,175199.99794372002
Libya,EMed,comm,2.2655e-4,0,3.795632381,26.3351,17.228331,3.409302308,22.80773782,5938.576684,79.8244,10.43,341.862,3.7,4.458238878,0.05,36700,29200,45100,7861.4237,-8611.70632,27419.17923,13.64477576,0.103047887,12.344897697285713,6871287,-0.47260517665934254,-0.25286969901026435,-1.68941067080174,124882,1974,9.673947776419803,11.73512457043583,15.74286198289783,10768.038817182285,270923.91861961235
Lithuania,Euro,comm,7.01128e-4,0,44.72307577,55.169438,23.881275,55.26462994,7.280419231,16983.96583,67.5292,3.67,342.989,6.56,20.15841271,0.07,20000,19200,20800,17254.7065,13288.28319,21231.22643,20.7254204,0.01958261,16.87296942533333,2794700,-1.4706387329253525,-0.510202302411156,0.19545199888849502,192406,3051,11.834126045495855,12.167363001758686,14.843235324284635,11481.118860700612,686428.5969871542
Luxembourg,Euro,comm,9.57187e-4,0,250.1851852,49.815273,6.129583,78.70049942,9.932402372,108928.1788,90.714,4.42,128.275,4.51,14.27494888,0.12,1070,685,1400,69.48178284,-524.7582256,633.3205232,0.801224843,0.022154171,7.185757436400001,632275,-2.1375689466099863,0.41230470448108414,-0.4448401424830384,52401,603,13.30688645906308,10.866680954096502,13.357079705071154,5810.74894942865,732440.7892135542
Madagascar,Afri,comm,0.001636081,0.059851213,45.13985562,-18.766947,46.869107,117.923334,22.64507981,501.8687864,36.5246,3.94,405.994,0.2,3.044064128,0.01,65100,49000,94000,25582.19376,-65272.52325,134170.3255,7.063623395,0.100190087,7.170554508600001,27691019,1.0879717832128923,-0.46290329787251033,-0.4411898711925889,19360,285,5.873179197813224,9.870964360830568,17.136618694758944,153454.15212058465,27355.909148738803
Malawi,Afri,comm,0.056862955,0.156542486,192.4407616,-13.254308,34.301525,83.09760022,22.48867981,369.1806521,16.7288,3.94,227.349,1.3,2.642024179,0.02,54900,45400,68900,17113.14425,-36097.5891,81540.9982,8.05599616,0.095174518,7.7309810180000005,19129955,0.011652699858399784,-0.6773361005259546,-0.32695590701266763,27422,874,6.261611906101748,10.2191008899166,16.766765989087478,170507.17359241046,77506.45519030234
Malaysia,WPac,clust,0.001896133,9.89044e-4,95.96282149,4.210484,101.975766,259.0780455,25.78142756,10564.76518,75.4286,16.74,260.942,1.9,6.920771309,0.04,48100,40300,58200,7532.970421,-17564.87422,35476.88166,1.746593856,0.04077599,1.1358825876,32365998,0.5354480556362071,-0.05286094847172378,0.9815889035181415,245552,896,10.283659228431286,12.411264016414876,17.292618985265726,28095.002876166527,804476.6300733258
Maldives,SEAs,clust,3.41e-5,0,1718.986667,3.202778,73.22068,197.0833333,28.29134615,9744.751201,39.3818,9.19,164.905,2.7,3.641000239,0.02,296,231,372,245.8127993,-198.8109699,728.0388453,9.828690271,0.100465919,10.825034348714286,540542,0.6390018480401635,0.2763938778180037,0.6581947046441898,16909,55,11.913465082742139,9.735601303538429,13.200327618870396,9912.963220249305,738799.2052421459
Mali,Afri,comm,0.005183012,0.11983914,15.63501586,17.570692,-3.996166,26.59095843,28.88349519,827.2043904,41.5676,2.42,268.024,0.1,2.495127818,0.02,33500,22100,47500,27310.9347,-50886.27007,120838.5628,8.897008533,0.097746862,10.347777247,20250834,1.5988665302050924,1.5935095263455172,-0.473863091992153,8181,339,7.509593314910893,9.009569671513699,16.823706535853923,290666.83120310004,43452.1857223263
Malta,Euro,clust,9.74026e-4,0,1514.46875,35.937496,14.375416,35.1589416,19.50353654,27777.82338,94.546,8.83,168.711,4.485,20.81717275,0.06,735,528,925,476.6711578,-165.2088639,1094.068825,6.223664819,0.027691594,13.827480692000002,525285,-2.0921685088078337,0.33765709273836103,-0.40604667735417077,22621,338,12.553577657360409,10.026633957357836,13.171696251422983,6550.370836783841,827091.9596028823
Marshall Islands,WPac,No_cases,0.001311786,0,324.5166667,7.131474,171.184478,231.7998356,27.94509615,3535.617816,76.6242,30.53,557.793,2.7,4.86738926,0.03,149,132,217,-79.39252866,-384.3560644,278.7976073,-9.371517969,0.134852437,2.7730662444000003,59194,1.0088259607587033,-0.45014339109398627,1.353862304133312,4,0,9.419166151436118,1.3862943611198906,10.98857546438435,43152.99741527858,1097712.6060073657
Mauritania,Afri,comm,3.10252e-4,0.078398193,4.272163578,21.00789,-10.940835,8.235993237,28.41635737,1583.872509,52.8108,2.42,232.347,1.71,3.156243813,0.02,7990,5680,10500,6947.729666,-7265.223374,24071.43418,13.1752276,0.105050708,11.4947995374,4649660,0.49224341735593485,0.3314991148462295,-0.6936441890143855,16777,425,7.357211115865153,9.7277641797704,15.352304656610697,79910.13222472182,248180.72719295605
Mauritius,Afri,clust,0.002730689,0,623.3019704,-20.348404,57.552152,146.2398337,23.26766859,10346.91167,40.862,22.02,224.644,3.4,11.99872723,0.01,659,331,987,941.8045754,-247.0518012,2078.625552,4.05315298,0.0172735,5.511616496571428,1265740,2.2426211074128686,-2.49012954842163,-3.9832673836688244,581,10,10.283659228431286,6.364750756851911,14.051167489346671,17090.22277876973,741375.7959770568
Mexico,Amer,comm,0.001864806,7.07e-5,64.91462641,23.634501,-102.552784,62.21506167,21.18582436,9456.311625,79.8658,13.06,152.783,1.38,7.416660604,0.05,798000,741000,867000,626216.5415,556969.8729,695309.8291,41.3696714,0.022288704,9.795066458857143,128932753,0.7394388648940885,0.31257702634330753,0.5486005513888536,1932145,166199,8.793738580577,14.474141342698193,18.674801531831047,14245.646783017191,635351.9341978218
Micronesia (Federated States of),WPac,No_cases,0.00916384,0,160.9142857,7.425554,150.550812,256.4114731,25.71679615,3194.767326,22.621,12.02,454.343,2.3,4.86738926,0.04,1560,685,217,-110.7218281,-751.036451,638.6355561,-5.118088314,0.11136562,0.8870926238333338,115021,0.9975932354532495,-0.1699393523146833,1.1000498335270226,0,0,5.873179197813224,-Inf,11.6528699993701,49955.888229105985,21141391.571973816
Monaco,Euro,spor,7.71089e-4,0,232.1723906,43.750298,7.412841,82.59121766,10.44399147,172346.5606,100,5.46,128.275,13.8,21.94147013,0.05,53,40,62,63.86281434,-167.7945652,272.8314888,6.709057289,0.081571877,16.818835833166666,39244,-2.058245634179237,0.31229367737055813,-0.48079932057853436,1665,20,11.66691035391208,7.417580402414544,10.577553845283282,10303.548573030272,525226.78626032
Mongolia,WPac,clust,1.31279e-4,0,2.040608667,46.862496,103.846656,18.56879849,0.598240897,3944.595588,68.3756,4.82,460.043,7,4.189333452,0.03,5600,4540,6430,4.008052159,-1998.357011,1970.779264,-0.08009425,0.014317572,9.20213673,3278292,-0.8237904679164185,0.6836229069002185,0.4111415807740555,2073,2,10.738447484168264,7.636752112435779,15.002833113025169,26650.314126990517,691705.9249145591
Montenegro,Euro,clust,1.47532e-4,0,46.26223048,42.708678,19.374389999999998,97.15418157,9.60922609,7816.462374,66.4774,10.08,387.305,3.861,15.38917207,0.06,4080,3670,4470,3909.807668,2039.963192,5861.04863,27.45762184,0.067594347,23.1768185575,621718,-1.8607715349877474,0.5556609516301865,0.033789281802087394,64993,830,10.738447484168264,11.08203485077085,13.340241892709463,5939.589399052304,456605.72799886763
Morocco,EMed,clust,3.87487e-4,0,80.72851893,31.791702,-7.09262,24.8487001,18.18983186,3046.919776,61.9048,7.14,419.146,1.1,7.300454771,0.05,157000,126000,203000,34748.43481,-92199.14241,188792.0655,6.903178314,0.095315942,13.2287694826,36910558,-0.4272332824326289,0.8493895304972078,-0.1123548245220508,475589,8408,10.194792840707239,13.07230931485173,17.424008192746147,19657.279919745455,610237.2930802075
Mozambique,Afri,comm,0.082107374,0.261951596,37.50853531,-18.665695,35.529562,79.08165138,24.28181827,497.418022,35.4594,3.3,329.942,0.7,2.878446169,0.02,78100,54100,109000,42730.80686,-101156.4606,217405.0243,7.470639336,0.095302424,9.447920062,31255435,2.207737127596334,0.3709080059206171,-0.08627305910620206,44912,465,7.652652524594028,10.712460298601664,17.257703839024355,286033.9029356015,274333.72787804744
Myanmar,SEAs,clust,0.004058341,0.001201087,82.238615480000007,21.913965,95.956223,165.9868137,23.24888718,1334.302001,30.3386,4.61,202.104,0.9,6.0117046,0.03,101000,71800,140000,44188.2588,-154467.6165,275476.8498,6.136500514,0.099596574,0.8438110378333332,54409794,2.6655861608175044,1.017560853188833,1.4671187071126295,141427,3177,8.275890251948582,11.859538961882619,17.812054732386205,55267.899268282476,376821.11055226566
Namibia,Afri,comm,0.089044975,0.028714748,2.973745582,-22.95764,18.49041,22.70167426,20.99635385,5029.733195,48.988,3.94,243.811,3.7,3.608054423,0.02,18000,15500,20400,7752.850354,-2558.718931,20557.78166,21.62193694,0.114344331,12.743552029714284,2540916,2.141391033044691,-2.766561481836335,-3.8206749098628303,35070,375,9.831213858603505,10.465101343134224,14.748035203904639,151054.8457721546,156954.42116150237
Nauru,WPac,No_cases,0.001524589,0,635.2,-0.522778,166.931503,256.4114731,27.94509615,8459.321976,100,30.53,260.942,2.1,4.925825825,0.03,3920,5180,790,-1.458468648,-100.7906542,125.414263,-0.803522754,0.298678377,-4.3545517216,10834,0.4224716542019009,-0.050425430383160774,0.9848606562121107,0,0,9.841837548945438,-Inf,9.290444616217844,40869.7560919328,106512460.77164482
Nepal,SEAs,clust,9.41146e-4,7.07301e-4,195.9391071,28.394857,84.124008,105.2775371,12.62225128,918.169432,19.3456,7.26,260.797,0.3,5.782567617,0.03,123000,107000,142000,32512.57828,-58439.35778,140836.7769,9.234696761,0.094570681,11.656453210166667,29136808,2.2916147608172954,3.422292831544679,-0.504477157238016,272055,2045,9.560596670412883,12.513759530719634,17.187512812580376,52622.97606518875,460487.84753635334
Netherlands,Euro,comm,0.001301349,0,511.4759276,52.132633,5.291266,66.78641099,10.3164016,49046.83126,91.0502,5.29,109.361,3.32,19.60531972,0.12,45500,42700,48000,29211.94786,15158.35899,42718.36535,9.228720203,0.015221352,5.126856070333334,17441139,-2.0558906713760363,0.0947176501979595,-0.44919970026508316,1025998,14686,9.18134545272274,13.841176355393213,16.674342283945553,6876.2104871705915,722234.9985284791
New Zealand,WPac,clust,6.127e-4,0,18.38517337,-40.900557,174.885971,142.9639449,10.02285788,41321.06377,86.472,8.08,128.797,2.61,15.99395617,0.02,-872,-1330,-451,-2677.144853,-5037.956353,-325.1751652,-3.476901205,0.010880694,6.893440996499999,5084300,-1.9693322662984767,0.4656070548080427,-0.16761631201083693,2073,26,10.989672929321037,7.636752112435779,15.441667918205143,4683.939092893811,780672.2656019512
Nicaragua,Amer,comm,0.002356232,0.003768842,53.72704836,12.865416,-85.207229,189.548471,25.23340064,2050.007191,58.3132,11.47,137.016,0.9,5.457992374,0.03,33400,31300,36100,12095.42403,-732.7724894,27282.22683,18.21956881,0.100975139,17.296287404000005,6624554,1.3713612287977144,0.013696518187811813,0.1278281530388729,5027,170,8.085610263091626,8.522578663692576,15.706293606815699,19184.426317605685,733790.2295007332
