Country,WHO_Region,cases_perMil,deaths_perMil,mean_age,Transmission_Classification,HIV.AIDS,Genital.herpes,Ascariasis,Malaria,Trichuriasis,Tuberculosis,popDen,latitude,longitude,Avg_Rainfall91.2016_mm,Avg_temp91.2016_c,GDPpc,PerUrb,HCexpend,inv_simpsons,Hookworm_disease,Schistosomiasis,Lymphatic_filariasis,inf_diseaseBurden,Total_tests_per_thousand,Diabetes_prevalence,Cardiovasc_death_rate,Hospital_beds_per_thousand,PropOver_70,AirConnectivityIndex,IHME_meanExcessDeaths,IHME_lowerCIExcessDeaths,IHME_upperCIExcessDeaths,WHO_meanExcessDeaths,WHO_lowerCIExcessDeaths,WHO_upperCIExcessDeaths,pscore.mean,pscore.mean.se,People_vaccinated
Nauru,Western Pacific,0,0,27,No_cases,0.001524589,0.142170547,0.033507149,0,0.059151078,0.32612218,635.2,-0.522778,166.931503,NA,NA,8459.321976,100,8459.321976,3.391356,0.013179816,0,0,442.7829375,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.458468648,-100.7906542,125.414263,-0.803522754,0.298678377,NA
Nepal,South-East Asia,9337.16,70.19,25.3,Clusters_of_cases,0.000941146,0.061963939,0.190879927,0.000707301,0.09089122,0.146337537,195.9391071,28.394857,84.124008,105.2775371,12.62225128,918.169432,19.3456,918.169432,5.47581,0.114303745,0,0.023399391,1533265.55,14194.313,7.26,260.797,0.3,5.782567617,0.03,123000,107000,142000,32512.57828,-58439.35778,140836.7769,9.234696761,0.094570681,13417146
Netherlands,Europe,58826.29,842.03,42.8,Community_transmission,0.001301349,0.143026829,0,0,0,0.074779317,511.4759276,52.132633,5.291266,66.78641099,10.3164016,49046.83126,91.0502,49046.83126,2.093076,0,0,0,119928.9429,9714.214,5.29,109.361,3.32,19.60531972,0.12,45500,42700,48000,29211.94786,15158.35899,42718.36535,9.228720203,0.015221352,12596601
New Zealand,Western Pacific,407.69,5.18,37.2,Clusters_of_cases,0.0006127,0.09937272,0,0,0,0.128812417,18.38517337,-40.900557,174.885971,142.9639449,10.02285788,41321.06377,86.472,41321.06377,2.586884,0,0,0,23814.55153,59258.999,8.08,128.797,2.61,15.99395617,0.02,-872,-1330,-451,-2677.144853,-5037.956353,-325.1751652,-3.476901205,0.010880694,3969172
Nicaragua,Americas,758.84,25.66,27.3,Community_transmission,0.002356232,0.211943542,0.077675459,0.003768842,0.073712037,0.237611816,53.72704836,12.865416,-85.207229,189.548471,25.23340064,2050.007191,58.3132,2050.007191,4.927748,0.067177051,0,0,127088.2681,NA,11.47,137.016,0.9,5.457992374,0.03,33400,31300,36100,12095.42403,-732.7724894,27282.22683,18.21956881,0.100975139,4861033
Niger,Africa,190.9,6.86,14.8,Community_transmission,0.001714547,0.117740239,0.110353453,0.255381601,0.054796296,0.20302597,17.71765059,17.607789,8.081666,14.73404801,27.8633484,525.3280062,16.3658,525.3280062,5.8837,0.092386458,0.005025389,0.008461953,8708674.215,NA,2.42,238.339,0.3,2.596711426,0.02,18100,10300,27700,34338.61795,-59667.47147,148712.0833,9.323199042,0.099131537,1147619
Nigeria,Africa,681.05,8.12,18.6,Community_transmission,0.009325619,0.148973633,0.119509011,0.195334405,0.026649292,0.201389625,215.064989,9.081999,8.675277,95.58444308,27.27292564,2217.936761,49.5082,2217.936761,7.156285,0.039914876,0.173891099,0.02383374,58602067.05,542.099,2.42,181.013,NA,2.743083338,0.02,163000,93500,238000,186433.5486,-611603.6739,1152126.349,5.64732155,0.098510432,9828209
Niue,Western Pacific,0,0,NA,No_cases,0.001545632,0.195830958,0.013963042,0,0.047750861,0.304721631,19.9446031,-19.054445,-169.867233,NA,NA,NA,NA,NA,3.392097,0.011326173,0,0.009812355,51.37955188,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.974455247,-41.4477878,60.7376983,-12.74289747,0.508519675,843803
North Macedonia,Europe,45537.06,1414.05,NA,Community_transmission,5.54E-05,0.083518071,0,0,0,0.189107004,82.59151467,41.608635,21.745275,55.35752545,10.51739888,5502.298984,57.778,5502.298984,2.505899,0,0,0,14494.02241,44354.842,10.08,322.688,4.28,14.08542237,NA,20200,19100,21200,15357.40057,11879.78701,18732.9303,30.27466802,0.030267544,NA
Northern Mariana Islands (Commonwealth of the),Western Pacific,2310.75,34.75,32.8,Pending,0.000346218,0.212501577,0.010961928,0,0.046800591,0.297114874,123.6565217,-29.040835,167.954712,566.3958622,27.73741699,22625.3029,91.5312,22625.3029,3.33278,0.011233898,0,0,802.2706521,NA,NA,NA,NA,NA,NA,31,18,44,NA,NA,NA,NA,NA,NA
