country,meanAge,HIV.AIDS,Genital.herpes,Ascariasis,Malaria,Trichuriasis,Tuberculosis,popDen,rain,temp,PerUrb,HCexpend,Hookworm,Schistosomiasis,Lymphatic.filariasis,Diabetes,cardioDR,spatLag,reg,trans,pop,cases,deaths,log_tests,log_cases,log_pop
Democratic Republic of the Congo,16.7,0.004399102,0.220320909,0.14343247,0.251714316,0.124957197,0.313106547,37.08259236,122.1602333,24.53754904,43.8866,514.6982648,0.137829346,0.050999004,0.024192352,6.1,318.949,1323.81166666667,Afri,comm,89561404,23644,716,8.531586800036472,10.07086466194426,18.31043502621331
Denmark,42,0.001194471,0.128687325,0,0,0,0.08061606,137.9765658,61.73003987,8.678213269,87.7586,57459.56645,0,0,0,6.41,114.767,49180.4783333333,Euro,comm,5831404,203417,2233,12.938534758362332,12.22301333825843,15.578768352661008
Djibouti,24.9,0.01162396,0.205471941,0.039146068,0.013112981,0.031037366,0.185034222,41.36842105,21.71606471,28.26240865,77.657,2986.47475,0.009997282,0.00212565,0,6.05,258.037,569.29,EMed,clust,988002,5950,63,9.768102521384728,8.691146498539675,13.803440001019453
Dominican Republic,27.9,0.005676965,0.212857024,0.048114851,2.15e-5,0.036627944,0.234603392,219.9785759,121.4442597,24.48336154,80.2362,7628.896587,0.006837338,0.124032855,0.016394668,8.2,266.653,18969.895,Amer,comm,10847904,224118,2842,9.673947776419803,12.319927977848577,16.199482439565635
Ecuador,28.8,0.002364769,0.233564259,0.083419841,0.00156621,0.056763742,0.149822992,68.78868175,185.949474,21.70914423,63.6818,6175.569094,0.00540088,0,0,5.55,140.448,36079.345,Amer,comm,17643060,258612,15014,9.152700877729728,12.463084147955572,16.6858530628866
Egypt,24.1,4.72e-5,0.090130189,0.030892309,0,0.023953185,0.2850804,98.87346929,2.485025064,23.05570769,42.7312,3016.685489,0.003722298,0.012140755,0.00721943,17.31,525.432,22147.517,EMed,clust,102334403,170182,9722,10.980624686335268,12.044623731596802,18.44375646959746
El Salvador,27.7,0.003484775,0.23023373,0.055061099,9.86e-5,0.067319448,0.252553152,309.8814672,151.2771268,24.37199647,71.249,3935.347657,0.058641967,0,0,8.87,167.295,17707.6671428571,Amer,comm,6486201,56650,1693,10.061353280162637,10.944647266456153,15.685187555193462
Equatorial Guinea,20.3,0.051830953,0.225254293,0.025386441,0.336657105,0.047888214,0.242399005,46.66573975,181.8614803,24.89411058,71.634,9695.565902,0.014961297,0.042097156,0.011434465,7.78,202.812,2964.972,Afri,comm,1402985,5613,87,9.985207858761688,8.6328406149422,14.154112667651821
Eritrea,20.3,0.003884645,0.174672616,0.020338457,0.012100602,0.052311985,0.242417038,65.9468143251011,22.56127292,26.94000224,45.8883214,1994.31743375069,0.118767289,0.039476449,0.00370359,6.05,311.11,3387.96666666667,Afri,comm,3546421,2326,7,8.765576396144743,7.75190533307861,15.081449483893305
Estonia,43.7,0.002565861,0.164118541,0,0,0,0.15613106400000001,30.41124914,55.74426596,6.166056154,68.7254,20662.39145,0,0,0,4.02,255.569,33141.65,Euro,clust,1331057,48975,475,11.66691035391208,10.799065242812741,14.101483921403938
Eswatini,23.7,0.195835479,0.269845843,0.012111648,6.09254e-4,0.054632396,0.24507416,66.05761628,66.01406798,20.46310801,23.6328,3804.169904,0.084862204,0.063254385,0,3.94,333.436,3282.72833333333,Afri,comm,1160164,16234,607,9.67092200333943,9.69486308732112,13.96407193239978
Ethiopia,19.8,0.007571648,0.136782514,0.033916645,0.042854424,0.061230912,0.324872315,109.224559,67.66684324,23.15304776,20.3184,750.6946936,0.207724673,0.19767142100000001,0.005701588,7.47,182.634,1662.075,Afri,comm,114963583,143015,2184,8.223989502860968,11.870704798845832,18.560125966611913
Fiji,29.9,5.39127e-4,0.175090956,0.026101208,0,0.052187617,0.382663735,48.35703339,239.7889574,24.32588622,55.7402,5927.294145,0.011796247,0,0.10562771,14.49,412.82,10043.65,WPac,spor,896444,56,2,8.570468520275098,4.02535169073515,13.706191104934076
Finland,42.8,2.6002e-4,0.115729409,0,0,0,0.077641147,18.14854727,46.89010253,2.402187596,85.3306,46343.86227,0,0,0,5.76,153.507,32310.1125,Euro,comm,5530719,47885,702,11.532246515542637,10.77655758195572,15.525828383130081
France,41.7,0.001652556,0.114523888,0,0,0,0.077022279,47.11922029,70.20377468,11.54132609,80.181,38922.54789,0,0,0,4.77,86.06,68067.8575,Euro,comm,67391582,3392425,81611,11.541141339730508,15.037055562856512,18.026030671939928
Gabon,21,0.028935847,0.282017884,0.011189046,0.185191235,0.0440481,0.267156045,8.224764233,151.18125,25.29725769,88.9528,7464.6409,0.009838501,0.230453427,0.014840602,7.2,259.967,3064.195,Afri,comm,2225728,11836,71,9.859852934368663,9.3789010135201,14.615594611078407
Gambia,21.8,0.011759807,0.133776567,0.054937772,0.026574461,0.038906579,0.165620608,225.3065217,82.3163075,27.97866699,60.5892,708.3577634,0.033643685,0.110079033,0.002467677,1.91,331.43,9713.19666666667,Afri,comm,2416664,4302,135,7.509593314910893,8.366835309827675,14.697898634713864
Georgia,38.6,0.001288523,0.109937943,0.015369056,0,0.001932838,0.227950543,65.19733021,78.6664891,6.957606122,58.2374,4370.769825,0.005581159,0,0,7.11,496.218,23537.6875,Euro,comm,3714000,244912,3079,10.722086126443125,12.408654241331488,15.127620020894788
Germany,47.8,9.91152e-4,0.146411659,0,0,0,0.081853779,237.3075967,60.1511108,9.429345385,77.2746,44400.56462,0,0,0,8.31,156.139,63751.525,Euro,comm,83240525,2277045,61764,9.521152617533028,14.638389107696444,18.23724486653373
Ghana,21.4,0.010017413,0.173941494,0.031815474,0.192118039,0.02306386,0.2308767,130.8214292,96.05532394,27.62778301,55.4018,2021.120124,0.090188468,0.130672723,0.024582304,4.97,298.245,1779.394,Afri,comm,31072945,71530,466,8.649776559807759,11.17787222110243,17.251848062844495
Greece,45.3,4.4683e-4,0.103239767,0,0,0,0.083077678,83.26518231,53.54714327,14.30444054,78.7206,19024.2586,0,0,0,4.55,175.695,28167.8771428571,Euro,comm,10715549,169199,6161,11.211130647894697,12.03883081597131,16.187206422161495
Grenada,33.3,0.00251472,0.236158233,0.024248567,0,0.035334536,0.235909855,327.8058824,128.8380674,27.16824263,36.1802,10034.52604,0.007725418,0,0,10.71,243.964,14126.2033333333,Amer,spor,112519,148,1,10.774433545265426,4.997212273764115,11.630877375255379
Guam,29.4,7.13961e-4,0.185593624,0.007481424,0,0.050129023,0.309385026,306.9777778,199.374933516452,24.6783979923369,94.6978,35542.53265,0.011304836,0,0,10.18,155.898,1977.458,WPac,clust,168783,7457,130,9.018411290364357,8.916908467543795,12.036369145171836
Guatemala,23.2,0.001740349,0.195921888,0.104741737,0.001598859,0.074313064,0.291609196,152.5471258,220.1783569,23.93217083,50.6926,4342.453438,0.079627841,0,0,8.30271999999999,236.460414000002,17997.3566666667,Amer,comm,16858333,153613,5580,9.806884398670988,11.942191731531,16.640355632577357
Guinea,19.1,0.01003892,0.142715843,0.130397823,0.305306526,0.053942345,0.221750365,50.52221227,140.5542882,26.19758013,35.8068,839.7120501,0.060011871,0.078822533,0.012348601,2.42,336.717,1036.68714285714,Afri,comm,13132792,14748,79,8.16933444095621,9.598862759354034,16.390622866476445
Guinea-Bissau,18,0.016864644,0.150409563,0.062134895,0.026412745,0.069340627,0.231351546,66.65394737,128.0463331,27.48197981,42.9476,695.8105251,0.252557461,0.117311031,0.024921812,2.42,382.474,6220.946,Afri,comm,1967998,2781,45,8.652652191486222,7.930565854233965,14.492527340333657
Guyana,27.5,0.012610219,0.211748555,0.047571294,0.014096154,0.036760948,0.270902728,3.957348235,197.276783,26.05163301,26.5512,6053.713492,0.007748727,0,0.196688313,11.62,373.159,14377.7166666667,Amer,clust,786559,7982,180,10.00020111023579,8.984944285608679,13.575423014560116
Haiti,24.1,0.01381867,0.158996217,0.119809128,0.001683191,0.056983648,0.328742851,403.5985486,116.9728216,25.13607564,54.3278,1331.437916,0.079674374,0,0.012752231,6.65,430.548,18586.434,Amer,comm,11402533,11904,251,9.502741425924766,9.384629757072872,16.249346081665976
Honduras,45.6,9.90512e-4,0.238099665,0.192169106,0.001268716,0.076137514,0.291534239,85.68703191,160.9768376,24.01401122,56.4522,2435.840574,0.040953977,0,0,7.21,240.208,9712.614,Amer,comm,9904608,154571,3724,9.906173804827626,11.948408816686154,16.108510661359908
Hungary,43.6,2.23069e-4,0.070741494,0,0,0,0.164602207,107.9814868,52.13354734,10.8767866,71.0672,14709.05221,0,0,0,7.55,278.296,58919.5585714286,Euro,comm,9749763,382239,13367,10.872857352354677,12.853801346398827,16.092753534986286
Iceland,37.1,5.9905e-4,0.115773025,0,0,0,0.073136405,3.518413965,92.33924551,2.307253397,93.7752,65051.14194,0,0,0,5.31,117.992,31932.41125,Euro,comm,366425,6464,31,12.063450525744486,8.774003600200931,12.811549140895501
India,28.7,0.001345282,0.074880416,0.094962153999999993,0.004438405,0.056482678,0.27560445,454.9380726,86.6361734,24.56394071,33.6122,1885.05656,0.017296122,0,0.027401915,10.39,282.28,12718.7666666667,SEAs,clust,1380004385,10846834,154560,10.172722505825336,16.199383798134622,21.04535251364671
