"","country","pscore.mean","pscore.mean.se","pscore.lo","pscore.hi","plo"
"55","El Salvador",20.1442377422056,0.148283039229733,11.5514997879515,30.0202526395225,20.4408038206651
"56","Equatorial Guinea",8.18419667064023,0.0966838860888681,2.15835455635225,14.3703249151781,8.37756444281797
"57","Eritrea",4.40641901936735,0.0928930444407835,-1.15604768431198,9.88625689682967,4.59220510824892
"58","Estonia",10.907220771695,0.0207636743372464,9.64144545797944,12.2288923680865,10.9487481203695
"59","Eswatini",16.8351905209596,0.108742837418691,10.1293447491786,23.7354941057059,17.052676195797
"60","Ethiopia",8.29354991135632,0.0960992469809919,2.16745687261058,14.211755290993,8.4857484053183
"61","Fiji",-0.929406791632016,0.0980399184191856,-7.02641580993801,5.31195212595349,-0.733326954793645
"62","Finland",2.71150628409296,0.0126975229423742,1.93589375445518,3.4720803140691,2.7369013299777
"63","France",6.6711682159627,0.0161343112250928,5.62405179644661,7.66291775641453,6.70343683841288
"64","Gabon",5.59832837711419,0.093357733510837,0.120828002485298,11.2088248017411,5.78504384413587
"65","Gambia",10.127708925103,0.101454024056204,3.90534799246997,16.5633600691683,10.3306169732154
"66","Georgia",23.8590976253599,0.0908165240442111,18.7530937189676,29.8618170054549,24.0407306734483
"67","Germany",6.51101785997731,0.0189203511002333,5.25791349710338,7.64644899296119,6.54885856217778
"68","Ghana",5.50367144415133,0.0921709654133604,-0.0409703302659383,10.9396473080242,5.68801337497805
"69","Greece",7.71108766563041,0.0189468464177744,6.59616944768742,8.91035861743257,7.74898135846596
"70","Grenada",-12.7304355028612,0.221991792406762,-25.2787222167735,2.26222318633118,-12.2864519180476
"71","Guatemala",24.9001271583166,0.0136768817578934,24.076298345135,25.7744208033156,24.9274809218324
"72","Guinea",5.81126331462292,0.0958006188629989,-0.000849964095411118,11.9685511592113,6.00286455234892
"73","Guinea-Bissau",8.81993530365549,0.0959754258131385,2.39082330828691,14.8194837939254,9.01188615528177
"74","Guyana",16.3812231942606,0.107562980754527,9.86850786955315,23.1542693428933,16.5963491557697
"75","Haiti",11.203906703085,0.258525093759654,-4.06608009519042,27.1973576258136,11.7209568906043
"76","Honduras",20.0354252280627,0.114573779862134,12.9885565891862,27.2540203368683,20.2645727877869
"77","Hungary",13.6943897249393,0.0213226847591282,12.3374461321349,14.9983485776449,13.7370350944576
"78","Iceland",-0.209917709751224,0.0180588667961149,-1.31259667303294,0.971417665477828,-0.173799976158994
"79","India",25.878159483694,0.135239717811798,18.3119403588442,35.0198035416918,26.1486389193176
"80","Indonesia",27.458583623584,0.113088699701862,19.9784541577167,34.2988494369563,27.6847610229877
"81","Iran (Islamic Republic of)",29.6077202592458,0.0217582762622495,28.2697354423297,30.9802806178677,29.6512368117703
"82","Iraq",21.5187804116592,0.0980757698553343,16.0740141265017,27.6552155873259,21.7149319513699
"83","Ireland",4.69576032835819,0.0185473275875802,3.55774763157744,5.78850195998564,4.73285498353335
"84","Israel",6.98709248398798,0.0171121718017972,5.90458859781574,7.98900679957152,7.02131682759157
"85","Italy",12.2038019756258,0.0208903679361165,10.9827364752505,13.5829414707874,12.2455827114981
"86","Jamaica",9.21636784964785,0.105912083325551,3.0051517148482,16.2202318432323,9.42819201629895
"87","Japan",-0.587575084668514,0.00884005378927308,-1.14561039500924,-0.0546377456379951,-0.569894977089968
"88","Jordan",19.6674006897399,0.110328815792491,13.1909350618038,26.447767435423,19.8880583213249
"89","Kazakhstan",28.8338377596483,0.0202260805808229,27.5702157183818,30.1143635273797,28.8742899208099
"90","Kenya",2.02142478827123,0.0030025038039999,1.8274407757241,2.20334614417085,2.02742979587923
"91","Kiribati",-1.69811210836786,0.114275468810056,-8.750528553202,5.81674873758697,-1.46956117074774
"92","Kuwait",25.3476757236481,0.10453192417481,19.261360757161,31.8038589558291,25.5567395719977
